a	ˈa
agendássemos	ˌɐʒeɪŋdˈasɨmʊʃ
agendaremos	ˌɐʒeɪŋdɐɾˈemʊʃ
agendemos	ˌɐʒeɪŋdˈemʊʃ
agendaríamos	ˌɐʒeɪŋdɐɾˈiɐ̃mʊʃ
agendávamos	ˌɐʒeɪŋdˈavɐmʊʃ
agendáramos	ˌɐʒeɪŋdˈaɾɐmʊʃ
agendarmos	ˌɐʒeɪŋdˈaɾəmʊʃ
agendamos	ˌɐʒeɪŋdˈɐ̃mʊʃ
agendados	ˌɐʒeɪŋdˈadʊʃ
agendaríeis	ˌɐʒeɪŋdɐɾˈieɪʃ
agendáveis	ˌɐʒeɪŋdˈaveɪʃ
agendásseis	ˌɐʒeɪŋdˈaseɪʃ
agendáreis	ˌɐʒeɪŋdˈaɾeɪʃ
agendareis	ˌɐʒeɪŋdɐɾˈeɪʃ
agendeis	ˌɐʒeɪŋdˈeɪʃ
agendais	ˌɐʒeɪŋdˈaɪʃ
agendastes	ˌɐʒeɪŋdˈaʃtɨʃ
agendasses	ˌɐʒeɪŋdˈasɨʃ
agendardes	ˌɐʒeɪŋdˈaɾədɨʃ
agendares	ˌɐʒeɪŋdˈaɾɨʃ
agendes	ˌɐʒˈeɪŋdɨʃ
agendavas	ˌɐʒeɪŋdˈavɐʃ
agendarias	ˌɐʒeɪŋdɐɾˈiɐʃ
agendadas	ˌɐʒeɪŋdˈadɐʃ
agendaras	ˌɐʒeɪŋdˈaɾɐʃ
agendas	ˌɐʒˈeɪŋdɐʃ
agendarão	ˌɐʒeɪŋdɐɾˈɐ̃ʊ̃
agendamento	ˌɐʒeɪŋdɐmˈeɪŋtʊ
agendando	ˌɐʒeɪŋdˈɐ̃ŋdʊ
agendado	ˌɐʒeɪŋdˈadʊ
agendo	ˌɐʒˈeɪŋdʊ
agendassem	ˌɐʒeɪŋdˈaseɪŋ
agendarem	ˌɐʒeɪŋdˈaɾeɪŋ
agendem	ˌɐʒˈeɪŋdeɪŋ
agendavam	ˌɐʒeɪŋdˈavɐ̃ʊ̃
agendariam	ˌɐʒeɪŋdɐɾˈiɐ̃ʊ̃
agendaram	ˌɐʒeɪŋdˈaɾɐ̃ʊ̃
agendam	ˌɐʒˈeɪŋdɐ̃ʊ̃
agendarei	ˌɐʒeɪŋdɐɾˈeɪ
agendei	ˌɐʒeɪŋdˈeɪ
agendai	ˌɐʒeɪŋdˈaɪ
agendaste	ˌɐʒeɪŋdˈaʃtɨ
agendasse	ˌɐʒeɪŋdˈasɨ
agende	ˌɐʒˈeɪŋdɨ
agendava	ˌɐʒeɪŋdˈavɐ
agendaria	ˌɐʒeɪŋdɐɾˈiɐ
agendada	ˌɐʒeɪŋdˈadɐ
agendara	ˌɐʒeɪŋdˈaɾɐ
agenda	ˌɐʒˈeɪŋdɐ
agente	ˌɐʒˈeɪŋtɨ
agentes	ˌɐʒˈeɪŋtɨʃ
agigantar	ˌɐʒiɡɐ̃ŋtˈaɹ
agigantará	ˌɐʒiɡˌɐ̃ŋtɐɾˈa
agigantá	ˌɐʒiɡɐ̃ŋtˈa
agigantou	ˌɐʒiɡɐ̃ŋtˈow
agigantarás	ˌɐʒiɡˌɐ̃ŋtɐɾˈaʃ
agigantamentos	ˌɐʒiɡˌɐ̃ŋtɐmˈeɪŋtʊʃ
agigantámos	ˌɐʒiɡɐ̃ŋtˈamʊʃ
agigantássemos	ˌɐʒiɡɐ̃ŋtˈasɨmʊʃ
agigantaremos	ˌɐʒiɡˌɐ̃ŋtɐɾˈemʊʃ
agigantemos	ˌɐʒiɡɐ̃ŋtˈemʊʃ
agigantaríamos	ˌɐʒiɡˌɐ̃ŋtɐɾˈiɐ̃mʊʃ
agigantávamos	ˌɐʒiɡɐ̃ŋtˈavɐmʊʃ
agigantáramos	ˌɐʒiɡɐ̃ŋtˈaɾɐmʊʃ
agigantarmos	ˌɐʒiɡɐ̃ŋtˈaɾəmʊʃ
agigantamos	ˌɐʒiɡɐ̃ŋtˈɐ̃mʊʃ
agigantados	ˌɐʒiɡɐ̃ŋtˈadʊʃ
agigantaríeis	ˌɐʒiɡˌɐ̃ŋtɐɾˈieɪʃ
agigantáveis	ˌɐʒiɡɐ̃ŋtˈaveɪʃ
agigantásseis	ˌɐʒiɡɐ̃ŋtˈaseɪʃ
agigantáreis	ˌɐʒiɡɐ̃ŋtˈaɾeɪʃ
agigantareis	ˌɐʒiɡˌɐ̃ŋtɐɾˈeɪʃ
agiganteis	ˌɐʒiɡɐ̃ŋtˈeɪʃ
agigantais	ˌɐʒiɡɐ̃ŋtˈaɪʃ
agigantastes	ˌɐʒiɡɐ̃ŋtˈaʃtɨʃ
agigantasses	ˌɐʒiɡɐ̃ŋtˈasɨʃ
agigantardes	ˌɐʒiɡɐ̃ŋtˈaɾədɨʃ
agigantares	ˌɐʒiɡɐ̃ŋtˈaɾɨʃ
agigantes	ˌɐʒiɡˈɐ̃ŋtɨʃ
agigantavas	ˌɐʒiɡɐ̃ŋtˈavɐʃ
agigantarias	ˌɐʒiɡˌɐ̃ŋtɐɾˈiɐʃ
agigantadas	ˌɐʒiɡɐ̃ŋtˈadɐʃ
agigantaras	ˌɐʒiɡɐ̃ŋtˈaɾɐʃ
agigantas	ˌɐʒiɡˈɐ̃ŋtɐʃ
agigantarão	ˌɐʒiɡˌɐ̃ŋtɐɾˈɐ̃ʊ̃
agigantamento	ˌɐʒiɡˌɐ̃ŋtɐmˈeɪŋtʊ
agigantando	ˌɐʒiɡɐ̃ŋtˈɐ̃ŋdʊ
agigantado	ˌɐʒiɡɐ̃ŋtˈadʊ
agiganto	ˌɐʒiɡˈɐ̃ŋtʊ
agigantassem	ˌɐʒiɡɐ̃ŋtˈaseɪŋ
agigantarem	ˌɐʒiɡɐ̃ŋtˈaɾeɪŋ
agigantem	ˌɐʒiɡˈɐ̃ŋteɪŋ
agigantavam	ˌɐʒiɡɐ̃ŋtˈavɐ̃ʊ̃
agigantariam	ˌɐʒiɡˌɐ̃ŋtɐɾˈiɐ̃ʊ̃
agigantaram	ˌɐʒiɡɐ̃ŋtˈaɾɐ̃ʊ̃
agigantam	ˌɐʒiɡˈɐ̃ŋtɐ̃ʊ̃
agigantarei	ˌɐʒiɡˌɐ̃ŋtɐɾˈeɪ
agigantei	ˌɐʒiɡɐ̃ŋtˈeɪ
agigantai	ˌɐʒiɡɐ̃ŋtˈaɪ
agigantaste	ˌɐʒiɡɐ̃ŋtˈaʃtɨ
agigantasse	ˌɐʒiɡɐ̃ŋtˈasɨ
agigante	ˌɐʒiɡˈɐ̃ŋtɨ
agigantava	ˌɐʒiɡɐ̃ŋtˈavɐ
agigantaria	ˌɐʒiɡˌɐ̃ŋtɐɾˈiɐ
agigantada	ˌɐʒiɡɐ̃ŋtˈadɐ
agigantara	ˌɐʒiɡɐ̃ŋtˈaɾɐ
agiganta	ˌɐʒiɡˈɐ̃ŋtɐ
ágil	ˈaʒil
ágeis	ˈaʒeɪʃ
agilidade	ˌɐʒilidˈadɨ
agilidades	ˌɐʒilidˈadɨʃ
agilizar	ˌɐʒilizˈaɹ
agilizará	ˌɐʒilˌizɐɾˈa
agilizá	ˌɐʒilizˈa
agilizou	ˌɐʒilizˈow
agilizarás	ˌɐʒilˌizɐɾˈaʃ
agilizámos	ˌɐʒilizˈamʊʃ
agilizássemos	ˌɐʒilizˈasɨmʊʃ
agilizaremos	ˌɐʒilˌizɐɾˈemʊʃ
agilizemos	ˌɐʒilizˈemʊʃ
agilizaríamos	ˌɐʒilˌizɐɾˈiɐ̃mʊʃ
agilizávamos	ˌɐʒilizˈavɐmʊʃ
agilizáramos	ˌɐʒilizˈaɾɐmʊʃ
agilizarmos	ˌɐʒilizˈaɾəmʊʃ
agilizamos	ˌɐʒilizˈɐ̃mʊʃ
agilizados	ˌɐʒilizˈadʊʃ
agilizaríeis	ˌɐʒilˌizɐɾˈieɪʃ
agilizáveis	ˌɐʒilizˈaveɪʃ
agilizásseis	ˌɐʒilizˈaseɪʃ
agilizáreis	ˌɐʒilizˈaɾeɪʃ
agilizareis	ˌɐʒilˌizɐɾˈeɪʃ
agilizeis	ˌɐʒilizˈeɪʃ
agilizais	ˌɐʒilizˈaɪʃ
agilizações	ˌɐʒilˌizɐsˈõjʃ
agilizastes	ˌɐʒilizˈaʃtɨʃ
agilizantes	ˌɐʒilizˈɐ̃ŋtɨʃ
agilizasses	ˌɐʒilizˈasɨʃ
agilizardes	ˌɐʒilizˈaɾədɨʃ
agilizares	ˌɐʒilizˈaɾɨʃ
agilizes	ˌɐʒilˈizɨʃ
agilizavas	ˌɐʒilizˈavɐʃ
agilizarias	ˌɐʒilˌizɐɾˈiɐʃ
agilizadas	ˌɐʒilizˈadɐʃ
agilizaras	ˌɐʒilizˈaɾɐʃ
agilizas	ˌɐʒilˈizɐʃ
agilização	ˌɐʒilˌizɐsˈɐ̃ʊ̃
agilizarão	ˌɐʒilˌizɐɾˈɐ̃ʊ̃
agilizando	ˌɐʒilizˈɐ̃ŋdʊ
agilizado	ˌɐʒilizˈadʊ
agilizo	ˌɐʒilˈizʊ
agilizassem	ˌɐʒilizˈaseɪŋ
agilizarem	ˌɐʒilizˈaɾeɪŋ
agilizem	ˌɐʒilˈizeɪŋ
agilizavam	ˌɐʒilizˈavɐ̃ʊ̃
agilizariam	ˌɐʒilˌizɐɾˈiɐ̃ʊ̃
agilizaram	ˌɐʒilizˈaɾɐ̃ʊ̃
agilizam	ˌɐʒilˈizɐ̃ʊ̃
agilizarei	ˌɐʒilˌizɐɾˈeɪ
agilizei	ˌɐʒilizˈeɪ
agilizai	ˌɐʒilizˈaɪ
agilizaste	ˌɐʒilizˈaʃtɨ
agilizante	ˌɐʒilizˈɐ̃ŋtɨ
agilizasse	ˌɐʒilizˈasɨ
agilize	ˌɐʒilˈizɨ
agilizava	ˌɐʒilizˈavɐ
agilizaria	ˌɐʒilˌizɐɾˈiɐ
agilizada	ˌɐʒilizˈadɐ
agilizara	ˌɐʒilizˈaɾɐ
agiliza	ˌɐʒilˈizɐ
agiota	ˌɐʒiˈɔtɐ
agiotas	ˌɐʒiˈotɐʃ
agiotagem	ˌɐʒiutˈaʒeɪŋ
agiotar	ˌɐʒiutˈaɹ
agiotará	ˌɐʒiˌutɐɾˈa
agiotá	ˌɐʒiutˈa
agiotou	ˌɐʒiutˈow
agiotarás	ˌɐʒiˌutɐɾˈaʃ
agiotámos	ˌɐʒiutˈamʊʃ
agiotássemos	ˌɐʒiutˈasɨmʊʃ
agiotaremos	ˌɐʒiˌutɐɾˈemʊʃ
agiotemos	ˌɐʒiutˈemʊʃ
agiotaríamos	ˌɐʒiˌutɐɾˈiɐ̃mʊʃ
agiotávamos	ˌɐʒiutˈavɐmʊʃ
agiotáramos	ˌɐʒiutˈaɾɐmʊʃ
agiotarmos	ˌɐʒiutˈaɾəmʊʃ
agiotamos	ˌɐʒiutˈɐ̃mʊʃ
agiotados	ˌɐʒiutˈadʊʃ
agiotaríeis	ˌɐʒiˌutɐɾˈieɪʃ
agiotáveis	ˌɐʒiutˈaveɪʃ
agiotásseis	ˌɐʒiutˈaseɪʃ
agiotáreis	ˌɐʒiutˈaɾeɪʃ
agiotareis	ˌɐʒiˌutɐɾˈeɪʃ
agioteis	ˌɐʒiutˈeɪʃ
agiotais	ˌɐʒiutˈaɪʃ
agiotastes	ˌɐʒiutˈaʃtɨʃ
agiotasses	ˌɐʒiutˈasɨʃ
agiotardes	ˌɐʒiutˈaɾədɨʃ
agiotares	ˌɐʒiutˈaɾɨʃ
agiotes	ˌɐʒiˈotɨʃ
agiotavas	ˌɐʒiutˈavɐʃ
agiotarias	ˌɐʒiˌutɐɾˈiɐʃ
agiotadas	ˌɐʒiutˈadɐʃ
agiotaras	ˌɐʒiutˈaɾɐʃ
agiotas	ˌɐʒiˈotɐʃ
agiotarão	ˌɐʒiˌutɐɾˈɐ̃ʊ̃
agiotando	ˌɐʒiutˈɐ̃ŋdʊ
agiotado	ˌɐʒiutˈadʊ
agioto	ˌɐʒiˈɔtʊ
agiotassem	ˌɐʒiutˈaseɪŋ
agiotarem	ˌɐʒiutˈaɾeɪŋ
agiotem	ˌɐʒiˈɔteɪŋ
agiotavam	ˌɐʒiutˈavɐ̃ʊ̃
agiotariam	ˌɐʒiˌutɐɾˈiɐ̃ʊ̃
agiotaram	ˌɐʒiutˈaɾɐ̃ʊ̃
agiotam	ˌɐʒiˈɔtɐ̃ʊ̃
agiotarei	ˌɐʒiˌutɐɾˈeɪ
agiotei	ˌɐʒiutˈeɪ
agiotai	ˌɐʒiutˈaɪ
agiotaste	ˌɐʒiutˈaʃtɨ
agiotasse	ˌɐʒiutˈasɨ
agiote	ˌɐʒiˈɔtɨ
agiotava	ˌɐʒiutˈavɐ
agiotaria	ˌɐʒiˌutɐɾˈiɐ
agiotada	ˌɐʒiutˈadɐ
agiotara	ˌɐʒiutˈaɾɐ
agiota	ˌɐʒiˈɔtɐ
agir	ɐʒˈiɹ
agirá	ˌɐʒiɾˈa
agiu	ɐʒˈiʊ
agirás	ˌɐʒiɾˈaʃ
agíssemos	ˌɐʒˈisɨmʊʃ
agiremos	ˌɐʒiɾˈemʊʃ
agiríamos	ˌɐʒiɾˈiɐ̃mʊʃ
agíamos	ˌɐʒˈiɐ̃mʊʃ
agíramos	ˌɐʒˈiɾɐmʊʃ
ajamos	ˌɐʒˈɐ̃mʊʃ
agirmos	ˌɐʒˈiɾəmʊʃ
agimos	ˌɐʒˈimʊʃ
agidos	ˌɐʒˈidʊʃ
agiríeis	ˌɐʒiɾˈieɪʃ
agíeis	ˌɐʒˈieɪʃ
agísseis	ˌɐʒˈiseɪʃ
agíreis	ˌɐʒˈiɾeɪʃ
agireis	ˌɐʒiɾˈeɪʃ
ajais	ɐʒˈaɪʃ
agistes	ˌɐʒˈiʃtɨʃ
agisses	ˌɐʒˈisɨʃ
agirdes	ˌɐʒˈiɾədɨʃ
agires	ˌɐʒˈiɾɨʃ
ages	ˈaʒɨʃ
ajas	ˈaʒɐʃ
agirias	ˌɐʒiɾˈiɐʃ
agidas	ˌɐʒˈidɐʃ
agiras	ˌɐʒˈiɾɐʃ
agias	ˌɐʒˈiɐʃ
agis	ɐʒˈiʃ
agirão	ˌɐʒiɾˈɐ̃ʊ̃
ajo	ˈaʒʊ
agindo	ˌɐʒˈiŋdʊ
agido	ˌɐʒˈidʊ
agissem	ˌɐʒˈiseɪŋ
agirem	ˌɐʒˈiɾeɪŋ
agem	ˈaʒeɪŋ
ajam	ˈaʒɐ̃ʊ̃
agiriam	ˌɐʒiɾˈiɐ̃ʊ̃
agiram	ˌɐʒˈiɾɐ̃ʊ̃
agiam	ˌɐʒˈiɐ̃ʊ̃
agirei	ˌɐʒiɾˈeɪ
agi	ɐʒˈi
agiste	ˌɐʒˈiʃtɨ
agisse	ˌɐʒˈisɨ
age	ˈaʒɨ
aja	ˈaʒɐ
agiria	ˌɐʒiɾˈiɐ
agida	ˌɐʒˈidɐ
agira	ˌɐʒˈiɾɐ
agia	ˌɐʒˈiɐ
agitabilidade	ˌɐʒitˌɐbilidˈadɨ
agitabilidades	ˌɐʒitˌɐbilidˈadɨʃ
agitadiço	ˌɐʒitɐdˈisʊ
agitador	ˌɐʒitɐdˈoɹ
agitante	ˌɐʒitˈɐ̃ŋtɨ
agitantes	ˌɐʒitˈɐ̃ŋtɨʃ
agitar	ˌɐʒitˈaɹ
agitará	ˌɐʒitɐɾˈa
agitá	ˌɐʒitˈa
agitou	ˌɐʒitˈow
agitarás	ˌɐʒitɐɾˈaʃ
agitamentos	ˌɐʒitɐmˈeɪŋtʊʃ
agitámos	ˌɐʒitˈamʊʃ
agitássemos	ˌɐʒitˈasɨmʊʃ
agitaremos	ˌɐʒitɐɾˈemʊʃ
agitemos	ˌɐʒitˈemʊʃ
agitaríamos	ˌɐʒitɐɾˈiɐ̃mʊʃ
agitávamos	ˌɐʒitˈavɐmʊʃ
agitáramos	ˌɐʒitˈaɾɐmʊʃ
agitarmos	ˌɐʒitˈaɾəmʊʃ
agitamos	ˌɐʒitˈɐ̃mʊʃ
agitados	ˌɐʒitˈadʊʃ
agitaríeis	ˌɐʒitɐɾˈieɪʃ
agitáveis	ˌɐʒitˈaveɪʃ
agitásseis	ˌɐʒitˈaseɪʃ
agitáreis	ˌɐʒitˈaɾeɪʃ
agitareis	ˌɐʒitɐɾˈeɪʃ
agiteis	ˌɐʒitˈeɪʃ
agitais	ˌɐʒitˈaɪʃ
agitações	ˌɐʒitɐsˈõjʃ
agitastes	ˌɐʒitˈaʃtɨʃ
agitantes	ˌɐʒitˈɐ̃ŋtɨʃ
agitasses	ˌɐʒitˈasɨʃ
agitadores	ˌɐʒitɐdˈoɾɨʃ
agitardes	ˌɐʒitˈaɾədɨʃ
agitares	ˌɐʒitˈaɾɨʃ
agites	ˌɐʒˈitɨʃ
agitavas	ˌɐʒitˈavɐʃ
agitadoras	ˌɐʒitɐdˈoɾɐʃ
agitarias	ˌɐʒitɐɾˈiɐʃ
agitadas	ˌɐʒitˈadɐʃ
agitaras	ˌɐʒitˈaɾɐʃ
agitas	ˌɐʒˈitɐʃ
agitador	ˌɐʒitɐdˈoɹ
agitação	ˌɐʒitɐsˈɐ̃ʊ̃
agitarão	ˌɐʒitɐɾˈɐ̃ʊ̃
agitamento	ˌɐʒitɐmˈeɪŋtʊ
agitando	ˌɐʒitˈɐ̃ŋdʊ
agitado	ˌɐʒitˈadʊ
agito	ˌɐʒˈitʊ
agitassem	ˌɐʒitˈaseɪŋ
agitarem	ˌɐʒitˈaɾeɪŋ
agitem	ˌɐʒˈiteɪŋ
agitavam	ˌɐʒitˈavɐ̃ʊ̃
agitariam	ˌɐʒitɐɾˈiɐ̃ʊ̃
agitaram	ˌɐʒitˈaɾɐ̃ʊ̃
agitam	ˌɐʒˈitɐ̃ʊ̃
agitável	ˌɐʒitˈavˌɛl
agitarei	ˌɐʒitɐɾˈeɪ
agitei	ˌɐʒitˈeɪ
agitai	ˌɐʒitˈaɪ
agitaste	ˌɐʒitˈaʃtɨ
agitante	ˌɐʒitˈɐ̃ŋtɨ
agitasse	ˌɐʒitˈasɨ
agite	ˌɐʒˈitɨ
agitava	ˌɐʒitˈavɐ
agitadora	ˌɐʒitɐdˈoɾɐ
agitaria	ˌɐʒitɐɾˈiɐ
agitada	ˌɐʒitˈadɐ
agitara	ˌɐʒitˈaɾɐ
agita	ˌɐʒˈitɐ
aglomerada	ˌɐɡlumɨɾˈadɐ
aglomerado	ˌɐɡlumɨɾˈadʊ
aglomerados	ˌɐɡlumɨɾˈadʊʃ
aglomerar	ˌɐɡlumɨɾˈaɹ
aglomerará	ˌɐɡlumˌeɾɐɾˈa
aglomerá	ˌɐɡlumɨɾˈa
aglomerou	ˌɐɡlumɨɾˈow
aglomerarás	ˌɐɡlumˌeɾɐɾˈaʃ
aglomerámos	ˌɐɡlumɨɾˈamʊʃ
aglomerássemos	ˌɐɡlumɨɾˈasɨmʊʃ
aglomeraremos	ˌɐɡlumˌeɾɐɾˈemʊʃ
aglomeremos	ˌɐɡlumɨɾˈemʊʃ
aglomeraríamos	ˌɐɡlumˌeɾɐɾˈiɐ̃mʊʃ
aglomerávamos	ˌɐɡlumɨɾˈavɐmʊʃ
aglomeráramos	ˌɐɡlumɨɾˈaɾɐmʊʃ
aglomerarmos	ˌɐɡlumɨɾˈaɾəmʊʃ
aglomeramos	ˌɐɡlumɨɾˈɐ̃mʊʃ
aglomerados	ˌɐɡlumɨɾˈadʊʃ
aglomeraríeis	ˌɐɡlumˌeɾɐɾˈieɪʃ
aglomeráveis	ˌɐɡlumɨɾˈaveɪʃ
aglomerásseis	ˌɐɡlumɨɾˈaseɪʃ
aglomeráreis	ˌɐɡlumɨɾˈaɾeɪʃ
aglomerareis	ˌɐɡlumˌeɾɐɾˈeɪʃ
aglomereis	ˌɐɡlumɨɾˈeɪʃ
aglomerais	ˌɐɡlumɨɾˈaɪʃ
aglomerações	ˌɐɡlumˌeɾɐsˈõjʃ
aglomerastes	ˌɐɡlumɨɾˈaʃtɨʃ
aglomerantes	ˌɐɡlumɨɾˈɐ̃ŋtɨʃ
aglomerasses	ˌɐɡlumɨɾˈasɨʃ
aglomerardes	ˌɐɡlumɨɾˈaɾədɨʃ
aglomerares	ˌɐɡlumɨɾˈaɾɨʃ
aglomeres	ˌɐɡlumˈeɾɨʃ
aglomeravas	ˌɐɡlumɨɾˈavɐʃ
aglomerarias	ˌɐɡlumˌeɾɐɾˈiɐʃ
aglomeradas	ˌɐɡlumɨɾˈadɐʃ
aglomeraras	ˌɐɡlumɨɾˈaɾɐʃ
aglomeras	ˌɐɡlumˈeɾɐʃ
aglomeração	ˌɐɡlumˌeɾɐsˈɐ̃ʊ̃
aglomerarão	ˌɐɡlumˌeɾɐɾˈɐ̃ʊ̃
aglomerando	ˌɐɡlumɨɾˈɐ̃ŋdʊ
aglomerado	ˌɐɡlumɨɾˈadʊ
aglomero	ˌɐɡlumˈɛɾʊ
aglomerassem	ˌɐɡlumɨɾˈaseɪŋ
aglomerarem	ˌɐɡlumɨɾˈaɾeɪŋ
aglomerem	ˌɐɡlumˈɛɾeɪŋ
aglomeravam	ˌɐɡlumɨɾˈavɐ̃ʊ̃
aglomerariam	ˌɐɡlumˌeɾɐɾˈiɐ̃ʊ̃
aglomeraram	ˌɐɡlumɨɾˈaɾɐ̃ʊ̃
aglomeram	ˌɐɡlumˈɛɾɐ̃ʊ̃
aglomerarei	ˌɐɡlumˌeɾɐɾˈeɪ
aglomerei	ˌɐɡlumɨɾˈeɪ
aglomerai	ˌɐɡlumɨɾˈaɪ
aglomeraste	ˌɐɡlumɨɾˈaʃtɨ
aglomerante	ˌɐɡlumɨɾˈɐ̃ŋtɨ
aglomerasse	ˌɐɡlumɨɾˈasɨ
aglomere	ˌɐɡlumˈɛɾɨ
aglomerava	ˌɐɡlumɨɾˈavɐ
aglomeraria	ˌɐɡlumˌeɾɐɾˈiɐ
aglomerada	ˌɐɡlumɨɾˈadɐ
aglomerara	ˌɐɡlumɨɾˈaɾɐ
aglomera	ˌɐɡlumˈɛɾɐ
aglutinação	ˌɐɡlutˌinɐsˈɐ̃ʊ̃
aglutinações	ˌɐɡlutˌinɐsˈõjʃ
aglutinante	ˌɐɡlutinˈɐ̃ŋtɨ
aglutinantes	ˌɐɡlutinˈɐ̃ŋtɨʃ
aglutinar	ˌɐɡlutinˈaɹ
aglutinará	ˌɐɡlutˌinɐɾˈa
aglutiná	ˌɐɡlutinˈa
aglutinou	ˌɐɡlutinˈow
aglutinarás	ˌɐɡlutˌinɐɾˈaʃ
aglutinamentos	ˌɐɡlutˌinɐmˈeɪŋtʊʃ
aglutinámos	ˌɐɡlutinˈamʊʃ
aglutinássemos	ˌɐɡlutinˈasɨmʊʃ
aglutinaremos	ˌɐɡlutˌinɐɾˈemʊʃ
aglutinemos	ˌɐɡlutinˈemʊʃ
aglutinaríamos	ˌɐɡlutˌinɐɾˈiɐ̃mʊʃ
aglutinávamos	ˌɐɡlutinˈavɐmʊʃ
aglutináramos	ˌɐɡlutinˈaɾɐmʊʃ
aglutinarmos	ˌɐɡlutinˈaɾəmʊʃ
aglutinamos	ˌɐɡlutinˈɐ̃mʊʃ
aglutinados	ˌɐɡlutinˈadʊʃ
aglutinaríeis	ˌɐɡlutˌinɐɾˈieɪʃ
aglutináveis	ˌɐɡlutinˈaveɪʃ
aglutinásseis	ˌɐɡlutinˈaseɪʃ
aglutináreis	ˌɐɡlutinˈaɾeɪʃ
aglutinareis	ˌɐɡlutˌinɐɾˈeɪʃ
aglutineis	ˌɐɡlutinˈeɪʃ
aglutinais	ˌɐɡlutinˈaɪʃ
aglutinações	ˌɐɡlutˌinɐsˈõjʃ
aglutinastes	ˌɐɡlutinˈaʃtɨʃ
aglutinantes	ˌɐɡlutinˈɐ̃ŋtɨʃ
aglutinasses	ˌɐɡlutinˈasɨʃ
aglutinadores	ˌɐɡlutˌinɐdˈoɾɨʃ
aglutinardes	ˌɐɡlutinˈaɾədɨʃ
aglutinares	ˌɐɡlutinˈaɾɨʃ
aglutines	ˌɐɡlutˈinɨʃ
aglutinavas	ˌɐɡlutinˈavɐʃ
aglutinadoras	ˌɐɡlutˌinɐdˈoɾɐʃ
aglutinarias	ˌɐɡlutˌinɐɾˈiɐʃ
aglutinadas	ˌɐɡlutinˈadɐʃ
aglutinaras	ˌɐɡlutinˈaɾɐʃ
aglutinas	ˌɐɡlutˈinɐʃ
aglutinador	ˌɐɡlutˌinɐdˈoɹ
aglutinação	ˌɐɡlutˌinɐsˈɐ̃ʊ̃
aglutinarão	ˌɐɡlutˌinɐɾˈɐ̃ʊ̃
aglutinamento	ˌɐɡlutˌinɐmˈeɪŋtʊ
aglutinando	ˌɐɡlutinˈɐ̃ŋdʊ
aglutinado	ˌɐɡlutinˈadʊ
aglutino	ˌɐɡlutˈinʊ
aglutinassem	ˌɐɡlutinˈaseɪŋ
aglutinarem	ˌɐɡlutinˈaɾeɪŋ
aglutinem	ˌɐɡlutˈineɪŋ
aglutinavam	ˌɐɡlutinˈavɐ̃ʊ̃
aglutinariam	ˌɐɡlutˌinɐɾˈiɐ̃ʊ̃
aglutinaram	ˌɐɡlutinˈaɾɐ̃ʊ̃
aglutinam	ˌɐɡlutˈinɐ̃ʊ̃
aglutinável	ˌɐɡlutinˈavˌɛl
aglutinarei	ˌɐɡlutˌinɐɾˈeɪ
aglutinei	ˌɐɡlutinˈeɪ
aglutinai	ˌɐɡlutinˈaɪ
aglutinaste	ˌɐɡlutinˈaʃtɨ
aglutinante	ˌɐɡlutinˈɐ̃ŋtɨ
aglutinasse	ˌɐɡlutinˈasɨ
aglutine	ˌɐɡlutˈinɨ
aglutinava	ˌɐɡlutinˈavɐ
aglutinadora	ˌɐɡlutˌinɐdˈoɾɐ
aglutinaria	ˌɐɡlutˌinɐɾˈiɐ
aglutinada	ˌɐɡlutinˈadɐ
aglutinara	ˌɐɡlutinˈaɾɐ
aglutina	ˌɐɡlutˈinɐ
aglutinativo	ˌɐɡlutˌinɐtˈivʊ
agnosticismo	ˌɐɡnuʃtisˈiʒmʊ
agnosticismos	ˌɐɡnuʃtisˈiʒmʊʃ
agnóstico	ˌɐɡnˈɔʃtikʊ
agnósticas	ˌɐɡnˈɔʃtikɐʃ
agnósticos	ˌɐɡnˈɔʃtikʊʃ
agnóstica	ˌɐɡnˈɔʃtikɐ
agoirar	ˌɐɡoɪɾˈaɹ
agoirará	ˌɐɡoɪɾɐɾˈa
agoirá	ˌɐɡoɪɾˈa
agoirou	ˌɐɡoɪɾˈow
agoirarás	ˌɐɡoɪɾɐɾˈaʃ
agoirámos	ˌɐɡoɪɾˈamʊʃ
agoirássemos	ˌɐɡoɪɾˈasɨmʊʃ
agoiraremos	ˌɐɡoɪɾɐɾˈemʊʃ
agoiremos	ˌɐɡoɪɾˈemʊʃ
agoiraríamos	ˌɐɡoɪɾɐɾˈiɐ̃mʊʃ
agoirávamos	ˌɐɡoɪɾˈavɐmʊʃ
agoiráramos	ˌɐɡoɪɾˈaɾɐmʊʃ
agoirarmos	ˌɐɡoɪɾˈaɾəmʊʃ
agoiramos	ˌɐɡoɪɾˈɐ̃mʊʃ
agoirados	ˌɐɡoɪɾˈadʊʃ
agoiraríeis	ˌɐɡoɪɾɐɾˈieɪʃ
agoiráveis	ˌɐɡoɪɾˈaveɪʃ
agoirásseis	ˌɐɡoɪɾˈaseɪʃ
agoiráreis	ˌɐɡoɪɾˈaɾeɪʃ
agoirareis	ˌɐɡoɪɾɐɾˈeɪʃ
agoireis	ˌɐɡoɪɾˈeɪʃ
agoirais	ˌɐɡoɪɾˈaɪʃ
agoirastes	ˌɐɡoɪɾˈaʃtɨʃ
