a	'a
afinadinhas	,&fin&d'in^&s#
afinadas	,&fin'ad&s#
afinaras	,&fin'a*&s#
afinas	,&f'in&s#
afinador	,&fin&d'or-
afinação	,&fin&s'&U~
afinarão	,&fin&*'&U~
afinamento	,&fin&m'eINtU
afinadinho	,&fin&d'in^U
afinando	,&fin'&~NdU
afinado	,&fin'adU
afino	,&f'inU
afinassem	,&fin'aseIN
afinarem	,&fin'a*eIN
afinem	,&f'ineIN
afinavam	,&fin'av&U~
afinariam	,&fin&*'i;&U~
afinaram	,&fin'a*&U~
afinam	,&f'in&U~
afinarei	,&fin&*'eI
afinei	,&fin'eI
afinai	,&fin'aI
afinaste	,&fin'as#ty
afinasse	,&fin'asy
afine	,&f'iny
afinava	,&fin'av&
afinadora	,&fin&d'o*&
afinaria	,&fin&*'i;&
afinadinha	,&fin&d'in^&
afinada	,&fin'ad&
afinara	,&fin'a*&
afina	,&f'in&
afincar	,&fiNk'ar-
afincará	,&fiNk&*'a
afincá	,&fiNk'a
afincou	,&fiNk'ow
afincarás	,&fiNk&*'as#
afincamentos	,&fiNk&m'eINtUs#
afincámos	,&fiNk'amUs#
afinquemos	,&fiNk'emUs#
afincássemos	,&fiNk'asymUs#
afincaremos	,&fiNk&*'emUs#
afincaríamos	,&fiNk&*'i;&~mUs#
afincávamos	,&fiNk'av&mUs#
afincáramos	,&fiNk'a*&mUs#
afincarmos	,&fiNk'a*@-mUs#
afincamos	,&fiNk'&~mUs#
afincados	,&fiNk'adUs#
afincaríeis	,&fiNk&*'i;eIs#
afincáveis	,&fiNk'aveIs#
afinqueis	,&fiNk'eIs#
afincásseis	,&fiNk'aseIs#
afincáreis	,&fiNk'a*eIs#
afincareis	,&fiNk&*'eIs#
afincais	,&fiNk'aIs#
afinques	,&f'iNkys#
afincastes	,&fiNk'as#tys#
afincasses	,&fiNk'asys#
afincardes	,&fiNk'a*@-dys#
afincares	,&fiNk'a*ys#
afincavas	,&fiNk'av&s#
afincarias	,&fiNk&*'i;&s#
afincadas	,&fiNk'ad&s#
afincaras	,&fiNk'a*&s#
afincas	,&f'iNk&s#
afincarão	,&fiNk&*'&U~
afincamento	,&fiNk&m'eINtU
afincando	,&fiNk'&~NdU
afincado	,&fiNk'adU
afinco	,&f'iNkU
afinquem	,&f'iNkeIN
afincassem	,&fiNk'aseIN
afincarem	,&fiNk'a*eIN
afincavam	,&fiNk'av&U~
afincariam	,&fiNk&*'i;&U~
afincaram	,&fiNk'a*&U~
afincam	,&f'iNk&U~
afinquei	,&fiNk'eI
afincarei	,&fiNk&*'eI
afincai	,&fiNk'aI
afinque	,&f'iNky
afincaste	,&fiNk'as#ty
afincadamente	,&fiNk,&d&m'eINty
afincasse	,&fiNk'asy
afincava	,&fiNk'av&
afincaria	,&fiNk&*'i;&
afincada	,&fiNk'ad&
afincara	,&fiNk'a*&
afinca	,&f'iNk&
afinco	,&f'iNkU
afinquíssimos	,&fiNk'isimUs#
afinquíssimas	,&fiNk'isim&s#
afincos	,&f'iNkUs#
afinquíssimo	,&fiNk'isimU
afinquíssima	,&fiNk'isim&
afinfar	,&fiNf'ar-
afinfará	,&fiNf&*'a
afinfá	,&fiNf'a
afinfou	,&fiNf'ow
afinfarás	,&fiNf&*'as#
afinfámos	,&fiNf'amUs#
afinfássemos	,&fiNf'asymUs#
afinfaremos	,&fiNf&*'emUs#
afinfemos	,&fiNf'emUs#
afinfaríamos	,&fiNf&*'i;&~mUs#
afinfávamos	,&fiNf'av&mUs#
afinfáramos	,&fiNf'a*&mUs#
afinfarmos	,&fiNf'a*@-mUs#
afinfamos	,&fiNf'&~mUs#
afinfados	,&fiNf'adUs#
afinfaríeis	,&fiNf&*'i;eIs#
afinfáveis	,&fiNf'aveIs#
afinfásseis	,&fiNf'aseIs#
afinfáreis	,&fiNf'a*eIs#
afinfareis	,&fiNf&*'eIs#
afinfeis	,&fiNf'eIs#
afinfais	,&fiNf'aIs#
afinfastes	,&fiNf'as#tys#
afinfantes	,&fiNf'&~Ntys#
afinfasses	,&fiNf'asys#
afinfadores	,&fiNf&d'o*ys#
afinfardes	,&fiNf'a*@-dys#
afinfares	,&fiNf'a*ys#
afinfes	,&f'iNfys#
afinfavas	,&fiNf'av&s#
afinfadoras	,&fiNf&d'o*&s#
afinfarias	,&fiNf&*'i;&s#
afinfadas	,&fiNf'ad&s#
afinfaras	,&fiNf'a*&s#
afinfas	,&f'iNf&s#
afinfador	,&fiNf&d'or-
afinfarão	,&fiNf&*'&U~
afinfando	,&fiNf'&~NdU
afinfado	,&fiNf'adU
afinfo	,&f'iNfU
afinfassem	,&fiNf'aseIN
afinfarem	,&fiNf'a*eIN
afinfem	,&f'iNfeIN
afinfavam	,&fiNf'av&U~
afinfariam	,&fiNf&*'i;&U~
afinfaram	,&fiNf'a*&U~
afinfam	,&f'iNf&U~
afinfarei	,&fiNf&*'eI
afinfei	,&fiNf'eI
afinfai	,&fiNf'aI
afinfaste	,&fiNf'as#ty
afinfante	,&fiNf'&~Nty
afinfasse	,&fiNf'asy
afinfe	,&f'iNfy
afinfava	,&fiNf'av&
afinfadora	,&fiNf&d'o*&
afinfaria	,&fiNf&*'i;&
afinfada	,&fiNf'ad&
afinfara	,&fiNf'a*&
afinfa	,&f'iNf&
afinidade	,&finid'ady
afinidades	,&finid'adys#
afirmação	,&fi*@-m&s'&U~
afirmações	,&fi*@-m&s'o~js#
afirmar	,&fi*@-m'ar-
reafirmará	x,i;&f,i*@-m&*'a
reafirmá	x,i;&fi*@-m'a
reafirmou	x,i;&fi*@-m'ow
reafirmarás	x,i;&f,i*@-m&*'as#
reafirmámos	x,i;&fi*@-m'amUs#
reafirmássemos	x,i;&fi*@-m'asymUs#
reafirmaremos	x,i;&f,i*@-m&*'emUs#
reafirmemos	x,i;&fi*@-m'emUs#
reafirmaríamos	x,i;&f,i*@-m&*'i;&~mUs#
reafirmávamos	x,i;&fi*@-m'av&mUs#
reafirmáramos	x,i;&fi*@-m'a*&mUs#
reafirmarmos	x,i;&fi*@-m'a*@-mUs#
reafirmamos	x,i;&fi*@-m'&~mUs#
reafirmados	x,i;&fi*@-m'adUs#
reafirmaríeis	x,i;&f,i*@-m&*'i;eIs#
reafirmáveis	x,i;&fi*@-m'aveIs#
reafirmásseis	x,i;&fi*@-m'aseIs#
reafirmáreis	x,i;&fi*@-m'a*eIs#
reafirmareis	x,i;&f,i*@-m&*'eIs#
reafirmeis	x,i;&fi*@-m'eIs#
reafirmais	x,i;&fi*@-m'aIs#
reafirmações	x,i;&f,i*@-m&s'o~js#
reafirmastes	x,i;&fi*@-m'as#tys#
reafirmasses	x,i;&fi*@-m'asys#
reafirmardes	x,i;&fi*@-m'a*@-dys#
reafirmares	x,i;&fi*@-m'a*ys#
reafirmes	x,i;&f'i*@-mys#
reafirmavas	x,i;&fi*@-m'av&s#
reafirmarias	x,i;&f,i*@-m&*'i;&s#
reafirmadas	x,i;&fi*@-m'ad&s#
reafirmaras	x,i;&fi*@-m'a*&s#
reafirmas	x,i;&f'i*@-m&s#
reafirmação	x,i;&f,i*@-m&s'&U~
reafirmarão	x,i;&f,i*@-m&*'&U~
reafirmando	x,i;&fi*@-m'&~NdU
reafirmado	x,i;&fi*@-m'adU
reafirmo	x,i;&f'i*@-mU
reafirmassem	x,i;&fi*@-m'aseIN
reafirmarem	x,i;&fi*@-m'a*eIN
reafirmem	x,i;&f'i*@-meIN
reafirmavam	x,i;&fi*@-m'av&U~
reafirmariam	x,i;&f,i*@-m&*'i;&U~
reafirmaram	x,i;&fi*@-m'a*&U~
reafirmam	x,i;&f'i*@-m&U~
reafirmarei	x,i;&f,i*@-m&*'eI
reafirmei	x,i;&fi*@-m'eI
reafirmai	x,i;&fi*@-m'aI
reafirmaste	x,i;&fi*@-m'as#ty
reafirmasse	x,i;&fi*@-m'asy
reafirme	x,i;&f'i*@-my
reafirmava	x,i;&fi*@-m'av&
reafirmaria	x,i;&f,i*@-m&*'i;&
reafirmada	x,i;&fi*@-m'ad&
reafirmara	x,i;&fi*@-m'a*&
reafirma	x,i;&f'i*@-m&
reafirmar	x,i;&fi*@-m'ar-
afirmará	,&fi*@-m&*'a
afirmá	,&fi*@-m'a
afirmou	,&fi*@-m'ow
afirmarás	,&fi*@-m&*'as#
afirmámos	,&fi*@-m'amUs#
afirmássemos	,&fi*@-m'asymUs#
afirmaremos	,&fi*@-m&*'emUs#
afirmemos	,&fi*@-m'emUs#
afirmaríamos	,&fi*@-m&*'i;&~mUs#
afirmávamos	,&fi*@-m'av&mUs#
afirmáramos	,&fi*@-m'a*&mUs#
afirmarmos	,&fi*@-m'a*@-mUs#
afirmamos	,&fi*@-m'&~mUs#
afirmados	,&fi*@-m'adUs#
afirmaríeis	,&fi*@-m&*'i;eIs#
afirmáveis	,&fi*@-m'aveIs#
afirmásseis	,&fi*@-m'aseIs#
afirmáreis	,&fi*@-m'a*eIs#
afirmareis	,&fi*@-m&*'eIs#
afirmeis	,&fi*@-m'eIs#
afirmais	,&fi*@-m'aIs#
afirmações	,&fi*@-m&s'o~js#
afirmastes	,&fi*@-m'as#tys#
afirmasses	,&fi*@-m'asys#
afirmardes	,&fi*@-m'a*@-dys#
afirmares	,&fi*@-m'a*ys#
afirmes	,&f'i*@-mys#
afirmavas	,&fi*@-m'av&s#
afirmarias	,&fi*@-m&*'i;&s#
afirmadas	,&fi*@-m'ad&s#
afirmaras	,&fi*@-m'a*&s#
afirmas	,&f'i*@-m&s#
afirmação	,&fi*@-m&s'&U~
afirmarão	,&fi*@-m&*'&U~
afirmando	,&fi*@-m'&~NdU
afirmado	,&fi*@-m'adU
afirmo	,&f'i*@-mU
afirmassem	,&fi*@-m'aseIN
afirmarem	,&fi*@-m'a*eIN
afirmem	,&f'i*@-meIN
afirmavam	,&fi*@-m'av&U~
afirmariam	,&fi*@-m&*'i;&U~
afirmaram	,&fi*@-m'a*&U~
afirmam	,&f'i*@-m&U~
afirmarei	,&fi*@-m&*'eI
afirmei	,&fi*@-m'eI
afirmai	,&fi*@-m'aI
afirmaste	,&fi*@-m'as#ty
afirmasse	,&fi*@-m'asy
afirme	,&f'i*@-my
afirmava	,&fi*@-m'av&
afirmaria	,&fi*@-m&*'i;&
afirmada	,&fi*@-m'ad&
afirmara	,&fi*@-m'a*&
afirma	,&f'i*@-m&
afirmativa	,&fi*@-m&t'iv&
afirmativas	,&fi*@-m&t'iv&s#
afirmativo	,&fi*@-m&t'ivU
afirmativas	,&fi*@-m&t'iv&s#
afirmativos	,&fi*@-m&t'ivUs#
afirmativamente	,&fi*@-m,&tiv&m'eINty
afirmativa	,&fi*@-m&t'iv&
afivelar	,&fivyl'ar-
afivelará	,&fiv,el&*'a
afivelá	,&fivyl'a
afivelou	,&fivyl'ow
afivelarás	,&fiv,el&*'as#
afivelámos	,&fivyl'amUs#
afivelássemos	,&fivyl'asymUs#
afivelaremos	,&fiv,el&*'emUs#
afivelemos	,&fivyl'emUs#
afivelaríamos	,&fiv,el&*'i;&~mUs#
afivelávamos	,&fivyl'av&mUs#
afiveláramos	,&fivyl'a*&mUs#
afivelarmos	,&fivyl'a*@-mUs#
afivelamos	,&fivyl'&~mUs#
afivelados	,&fivyl'adUs#
afivelaríeis	,&fiv,el&*'i;eIs#
afiveláveis	,&fivyl'aveIs#
afivelásseis	,&fivyl'aseIs#
afiveláreis	,&fivyl'a*eIs#
afivelareis	,&fiv,el&*'eIs#
afiveleis	,&fivyl'eIs#
afivelais	,&fivyl'aIs#
afivelastes	,&fivyl'as#tys#
afivelasses	,&fivyl'asys#
afivelardes	,&fivyl'a*@-dys#
afivelares	,&fivyl'a*ys#
afiveles	,&fiv'elys#
afivelavas	,&fivyl'av&s#
afivelarias	,&fiv,el&*'i;&s#
afiveladas	,&fivyl'ad&s#
afivelaras	,&fivyl'a*&s#
afivelas	,&fiv'el&s#
afivelarão	,&fiv,el&*'&U~
afivelando	,&fivyl'&~NdU
afivelado	,&fivyl'adU
afivelo	,&fiv'ElU
afivelassem	,&fivyl'aseIN
afivelarem	,&fivyl'a*eIN
afivelem	,&fiv'EleIN
afivelavam	,&fivyl'av&U~
afivelariam	,&fiv,el&*'i;&U~
afivelaram	,&fivyl'a*&U~
afivelam	,&fiv'El&U~
afivelarei	,&fiv,el&*'eI
afivelei	,&fivyl'eI
afivelai	,&fivyl'aI
afivelaste	,&fivyl'as#ty
afivelasse	,&fivyl'asy
afivele	,&fiv'Ely
afivelava	,&fivyl'av&
afivelaria	,&fiv,el&*'i;&
afivelada	,&fivyl'ad&
afivelara	,&fivyl'a*&
afivela	,&fiv'El&
afixar	,&fiks'ar-
afixará	,&fiks&*'a
afixá	,&fiks'a
afixou	,&fiks'ow
afixarás	,&fiks&*'as#
afixámos	,&fiks'amUs#
afixássemos	,&fiks'asymUs#
afixaremos	,&fiks&*'emUs#
afixemos	,&fiks'emUs#
afixaríamos	,&fiks&*'i;&~mUs#
afixávamos	,&fiks'av&mUs#
afixáramos	,&fiks'a*&mUs#
afixarmos	,&fiks'a*@-mUs#
afixamos	,&fiks'&~mUs#
afixados	,&fiks'adUs#
afixaríeis	,&fiks&*'i;eIs#
afixáveis	,&fiks'aveIs#
afixásseis	,&fiks'aseIs#
afixáreis	,&fiks'a*eIs#
afixareis	,&fiks&*'eIs#
afixeis	,&fiks'eIs#
afixais	,&fiks'aIs#
afixações	,&fiks&s'o~js#
afixastes	,&fiks'as#tys#
afixasses	,&fiks'asys#
afixardes	,&fiks'a*@-dys#
afixares	,&fiks'a*ys#
afixes	,&f'iksys#
afixavas	,&fiks'av&s#
afixarias	,&fiks&*'i;&s#
afixadas	,&fiks'ad&s#
afixaras	,&fiks'a*&s#
afixas	,&f'iS&s#
afixação	,&fiks&s'&U~
afixarão	,&fiks&*'&U~
afixando	,&fiks'&~NdU
afixado	,&fiks'adU
afixo	,&f'iksU
afixassem	,&fiks'aseIN
afixarem	,&fiks'a*eIN
afixem	,&f'ikseIN
afixavam	,&fiks'av&U~
afixariam	,&fiks&*'i;&U~
afixaram	,&fiks'a*&U~
afixam	,&f'iks&U~
afixável	,&fiks'av,El
afixarei	,&fiks&*'eI
afixei	,&fiks'eI
afixai	,&fiks'aI
afixaste	,&fiks'as#ty
afixasse	,&fiks'asy
afixe	,&f'iksy
afixava	,&fiks'av&
afixaria	,&fiks&*'i;&
afixada	,&fiks'ad&
afixara	,&fiks'a*&
afixa	,&f'iS&
afixo	,&f'iksU
afixos	,&f'iksUs#
aflautar	,&flaUt'ar-
aflautará	,&flaUt&*'a
aflautá	,&flaUt'a
aflautou	,&flaUt'ow
aflautarás	,&flaUt&*'as#
aflautámos	,&flaUt'amUs#
aflautássemos	,&flaUt'asymUs#
aflautaremos	,&flaUt&*'emUs#
aflautemos	,&flaUt'emUs#
aflautaríamos	,&flaUt&*'i;&~mUs#
aflautávamos	,&flaUt'av&mUs#
aflautáramos	,&flaUt'a*&mUs#
aflautarmos	,&flaUt'a*@-mUs#
aflautamos	,&flaUt'&~mUs#
aflautados	,&flaUt'adUs#
aflautaríeis	,&flaUt&*'i;eIs#
aflautáveis	,&flaUt'aveIs#
aflautásseis	,&flaUt'aseIs#
aflautáreis	,&flaUt'a*eIs#
aflautareis	,&flaUt&*'eIs#
aflauteis	,&flaUt'eIs#
aflautais	,&flaUt'aIs#
aflautastes	,&flaUt'as#tys#
aflautasses	,&flaUt'asys#
aflautardes	,&flaUt'a*@-dys#
aflautares	,&flaUt'a*ys#
aflautes	,&fl'aUtys#
aflautavas	,&flaUt'av&s#
aflautarias	,&flaUt&*'i;&s#
aflautadas	,&flaUt'ad&s#
aflautaras	,&flaUt'a*&s#
aflautas	,&fl'aUt&s#
aflautarão	,&flaUt&*'&U~
aflautando	,&flaUt'&~NdU
aflautado	,&flaUt'adU
aflauto	,&fl'aUtU
aflautassem	,&flaUt'aseIN
aflautarem	,&flaUt'a*eIN
aflautem	,&fl'aUteIN
aflautavam	,&flaUt'av&U~
aflautariam	,&flaUt&*'i;&U~
aflautaram	,&flaUt'a*&U~
aflautam	,&fl'aUt&U~
aflautarei	,&flaUt&*'eI
aflautei	,&flaUt'eI
aflautai	,&flaUt'aI
aflautaste	,&flaUt'as#ty
aflautasse	,&flaUt'asy
aflaute	,&fl'aUty
aflautava	,&flaUt'av&
aflautaria	,&flaUt&*'i;&
aflautada	,&flaUt'ad&
aflautara	,&flaUt'a*&
aflauta	,&fl'aUt&
afleumar	,&fleUm'ar-
afleumará	,&fleUm&*'a
afleumá	,&fleUm'a
afleumou	,&fleUm'ow
afleumarás	,&fleUm&*'as#
afleumámos	,&fleUm'amUs#
afleumássemos	,&fleUm'asymUs#
afleumaremos	,&fleUm&*'emUs#
afleumemos	,&fleUm'emUs#
afleumaríamos	,&fleUm&*'i;&~mUs#
afleumávamos	,&fleUm'av&mUs#
afleumáramos	,&fleUm'a*&mUs#
afleumarmos	,&fleUm'a*@-mUs#
afleumamos	,&fleUm'&~mUs#
afleumados	,&fleUm'adUs#
afleumaríeis	,&fleUm&*'i;eIs#
afleumáveis	,&fleUm'aveIs#
afleumásseis	,&fleUm'aseIs#
afleumáreis	,&fleUm'a*eIs#
afleumareis	,&fleUm&*'eIs#
afleumeis	,&fleUm'eIs#
afleumais	,&fleUm'aIs#
afleumastes	,&fleUm'as#tys#
afleumasses	,&fleUm'asys#
afleumardes	,&fleUm'a*@-dys#
afleumares	,&fleUm'a*ys#
afleumes	,&fl'eUmys#
afleumavas	,&fleUm'av&s#
afleumarias	,&fleUm&*'i;&s#
afleumadas	,&fleUm'ad&s#
afleumaras	,&fleUm'a*&s#
afleumas	,&fl'eUm&s#
afleumarão	,&fleUm&*'&U~
afleumando	,&fleUm'&~NdU
afleumado	,&fleUm'adU
afleumo	,&fl'eUmU
afleumassem	,&fleUm'aseIN
afleumarem	,&fleUm'a*eIN
afleumem	,&fl'eUmeIN
afleumavam	,&fleUm'av&U~
afleumariam	,&fleUm&*'i;&U~
afleumaram	,&fleUm'a*&U~
afleumam	,&fl'eUm&U~
afleumarei	,&fleUm&*'eI
afleumei	,&fleUm'eI
afleumai	,&fleUm'aI
afleumaste	,&fleUm'as#ty
afleumasse	,&fleUm'asy
afleume	,&fl'eUmy
afleumava	,&fleUm'av&
afleumaria	,&fleUm&*'i;&
afleumada	,&fleUm'ad&
afleumara	,&fleUm'a*&
afleuma	,&fl'eUm&
aflição	,&flis'&U~
aflições	,&flis'o~js#
afligir	,&fliZ'ir-
afligirá	,&fliZi*'a
afligiu	,&fliZ'iU
afligirás	,&fliZi*'as#
afligimentos	,&fliZim'eINtUs#
afligíssemos	,&fliZ'isymUs#
afligiremos	,&fliZi*'emUs#
afligiríamos	,&fliZi*'i;&~mUs#
afligíamos	,&fliZ'i;&~mUs#
afligíramos	,&fliZ'i*&mUs#
aflijamos	,&fliZ'&~mUs#
afligirmos	,&fliZ'i*@-mUs#
afligimos	,&fliZ'imUs#
afligidos	,&fliZ'idUs#
afligiríeis	,&fliZi*'i;eIs#
afligíeis	,&fliZ'i;eIs#
afligísseis	,&fliZ'iseIs#
afligíreis	,&fliZ'i*eIs#
afligireis	,&fliZi*'eIs#
aflijais	,&fliZ'aIs#
afligistes	,&fliZ'is#tys#
afligisses	,&fliZ'isys#
afligirdes	,&fliZ'i*@-dys#
afligires	,&fliZ'i*ys#
afliges	,&fl'iZys#
aflijas	,&fl'iZ&s#
afligirias	,&fliZi*'i;&s#
afligidas	,&fliZ'id&s#
afligiras	,&fliZ'i*&s#
afligias	,&fliZ'i;&s#
afligis	,&fliZ'is#
afligirão	,&fliZi*'&U~
afligimento	,&fliZim'eINtU
aflijo	,&fl'iZU
afligindo	,&fliZ'iNdU
afligido	,&fliZ'idU
afligissem	,&fliZ'iseIN
afligirem	,&fliZ'i*eIN
afligem	,&fl'iZeIN
aflijam	,&fl'iZ&U~
afligiriam	,&fliZi*'i;&U~
afligiram	,&fliZ'i*&U~
afligiam	,&fliZ'i;&U~
afligirei	,&fliZi*'eI
afligi	,&fliZ'i
afligiste	,&fliZ'is#ty
afligisse	,&fliZ'isy
aflige	,&fl'iZy
aflija	,&fl'iZ&
afligiria	,&fliZi*'i;&
afligida	,&fliZ'id&
afligira	,&fliZ'i*&
afligia	,&fliZ'i;&
aflitivo	,&flit'ivU
aflitivas	,&flit'iv&s#
aflitivos	,&flit'ivUs#
aflitivamente	,&flit,iv&m'eINty
aflitiva	,&flit'iv&
aflito	,&fl'itU
aflitas	,&fl'it&s#
aflitos	,&fl'itUs#
aflita	,&fl'it&
aflorar	,&flu*'ar-
aflorará	,&flu*&*'a
aflorá	,&flu*'a
aflorou	,&flu*'ow
aflorarás	,&flu*&*'as#
afloramentos	,&flu*&m'eINtUs#
aflorámos	,&flu*'amUs#
aflorássemos	,&flu*'asymUs#
afloraremos	,&flu*&*'emUs#
afloremos	,&flu*'emUs#
afloraríamos	,&flu*&*'i;&~mUs#
aflorávamos	,&flu*'av&mUs#
afloráramos	,&flu*'a*&mUs#
aflorarmos	,&flu*'a*@-mUs#
afloramos	,&flu*'&~mUs#
aflorados	,&flu*'adUs#
afloraríeis	,&flu*&*'i;eIs#
afloráveis	,&flu*'aveIs#
aflorásseis	,&flu*'aseIs#
afloráreis	,&flu*'a*eIs#
aflorareis	,&flu*&*'eIs#
afloreis	,&flu*'eIs#
aflorais	,&flu*'aIs#
aflorações	,&flu*&s'o~js#
aflorastes	,&flu*'as#tys#
aflorantes	,&flu*'&~Ntys#
aflorasses	,&flu*'asys#
aflorardes	,&flu*'a*@-dys#
aflorares	,&flu*'a*ys#
aflores	,&fl'o*ys#
afloravas	,&flu*'av&s#
aflorarias	,&flu*&*'i;&s#
afloradas	,&flu*'ad&s#
afloraras	,&flu*'a*&s#
afloras	,&fl'o*&s#
afloração	,&flu*&s'&U~
aflorarão	,&flu*&*'&U~
afloramento	,&flu*&m'eINtU
aflorando	,&flu*'&~NdU
aflorado	,&flu*'adU
afloro	,&fl'O*U
aflorassem	,&flu*'aseIN
aflorarem	,&flu*'a*eIN
aflorem	,&fl'O*eIN
afloravam	,&flu*'av&U~
aflorariam	,&flu*&*'i;&U~
afloraram	,&flu*'a*&U~
afloram	,&fl'O*&U~
aflorarei	,&flu*&*'eI
aflorei	,&flu*'eI
aflorai	,&flu*'aI
afloraste	,&flu*'as#ty
aflorante	,&flu*'&~Nty
aflorasse	,&flu*'asy
aflore	,&fl'O*y
aflorava	,&flu*'av&
afloraria	,&flu*&*'i;&
aflorada	,&flu*'ad&
aflorara	,&flu*'a*&
aflora	,&fl'O*&
afluência	,&flw'eINsj&
afluências	,&flw'eINsi;&s#
afluente	,&flu'eINty
afluentes	,&flu'eINtys#
afluir	,&flu'ir-
afluí	&flw'i
afluirá	,&fluI*'a
afluiu	&flw'iU
afluís	,&flu'is#
afluirás	,&fluI*'as#
afluímos	,&flu'imUs#
afluíssemos	,&flu'isymUs#
afluiremos	,&fluI*'emUs#
afluiríamos	,&fluI*'i;&~mUs#
afluíamos	,&flw'i;&~mUs#
afluíramos	,&flu'i*&mUs#
afluamos	,&flu'&~mUs#
afluirmos	,&flu'i*@-mUs#
afluídos	,&flu'idUs#
afluiríeis	,&fluI*'i;eIs#
afluíeis	,&flw'i;eIs#
afluísseis	,&flu'iseIs#
afluíreis	,&flu'i*eIs#
afluireis	,&fluI*'eIs#
afluais	,&flu'aIs#
afluístes	,&flu'is#tys#
afluísses	,&flu'isys#
afluíres	,&flu'i*ys#
afluírdes	,&flu'i*@-dys#
afluías	,&flw'i;&s#
afluíras	,&flu'i*&s#
afluirias	,&fluI*'i;&s#
afluídas	,&flu'id&s#
afluas	,&fl'u&s#
afluis	,&flu'is#
afluirão	,&fluI*'&U~
afluído	,&flu'idU
afluindo	,&flu'iNdU
afluo	,&fl'uU
afluíssem	,&flu'iseIN
afluírem	,&flu'i*eIN
afluem	,&fl'ueIN
afluíam	,&flw'i;&U~
afluíram	,&flu'i*&U~
afluiriam	,&fluI*'i;&U~
afluam	,&fl'u&U~
afluirei	,&fluI*'eI
aflui	&fl'uI
afluíste	,&flu'is#ty
afluísse	,&flu'isy
afluía	,&flw'i;&
afluíra	,&flu'i*&
afluiria	,&fluI*'i;&
afluída	,&flu'id&
aflua	,&fl'u&
afluxo	,&fl'uksU
afocinhar	,&fusin^'ar-
afocinhará	,&fus,in^&*'a
afocinhá	,&fusin^'a
afocinhou	,&fusin^'ow
afocinharás	,&fus,in^&*'as#
afocinhámos	,&fusin^'amUs#
afocinhássemos	,&fusin^'asymUs#
afocinharemos	,&fus,in^&*'emUs#
afocinhemos	,&fusin^'emUs#
afocinharíamos	,&fus,in^&*'i;&~mUs#
afocinhávamos	,&fusin^'av&mUs#
afocinháramos	,&fusin^'a*&mUs#
afocinharmos	,&fusin^'a*@-mUs#
afocinhamos	,&fusin^'&~mUs#
afocinhados	,&fusin^'adUs#
afocinharíeis	,&fus,in^&*'i;eIs#
afocinháveis	,&fusin^'aveIs#
afocinhásseis	,&fusin^'aseIs#
afocinháreis	,&fusin^'a*eIs#
afocinhareis	,&fus,in^&*'eIs#
afocinheis	,&fusin^'eIs#
afocinhais	,&fusin^'aIs#
afocinhastes	,&fusin^'as#tys#
afocinhasses	,&fusin^'asys#
afocinhardes	,&fusin^'a*@-dys#
afocinhares	,&fusin^'a*ys#
afocinhes	,&fus'in^ys#
afocinhavas	,&fusin^'av&s#
afocinharias	,&fus,in^&*'i;&s#
afocinhadas	,&fusin^'ad&s#
afocinharas	,&fusin^'a*&s#
afocinhas	,&fus'in^&s#
afocinharão	,&fus,in^&*'&U~
afocinhando	,&fusin^'&~NdU
afocinhado	,&fusin^'adU
afocinho	,&fus'in^U
afocinhassem	,&fusin^'aseIN
afocinharem	,&fusin^'a*eIN
afocinhem	,&fus'in^eIN
afocinhavam	,&fusin^'av&U~
afocinhariam	,&fus,in^&*'i;&U~
afocinharam	,&fusin^'a*&U~
afocinham	,&fus'in^&U~
afocinharei	,&fus,in^&*'eI
afocinhei	,&fusin^'eI
afocinhai	,&fusin^'aI
afocinhaste	,&fusin^'as#ty
afocinhasse	,&fusin^'asy
afocinhe	,&fus'in^y
afocinhava	,&fusin^'av&
afocinharia	,&fus,in^&*'i;&
afocinhada	,&fusin^'ad&
afocinhara	,&fusin^'a*&
afocinha	,&fus'in^&
afofar	,&fuf'ar-
afofará	,&fuf&*'a
afofá	,&fuf'a
afofou	,&fuf'ow
afofarás	,&fuf&*'as#
afofamentos	,&fuf&m'eINtUs#
afofámos	,&fuf'amUs#
afofássemos	,&fuf'asymUs#
afofaremos	,&fuf&*'emUs#
afofemos	,&fuf'emUs#
afofaríamos	,&fuf&*'i;&~mUs#
afofávamos	,&fuf'av&mUs#
afofáramos	,&fuf'a*&mUs#
afofarmos	,&fuf'a*@-mUs#
afofamos	,&fuf'&~mUs#
afofados	,&fuf'adUs#
afofaríeis	,&fuf&*'i;eIs#
afofáveis	,&fuf'aveIs#
afofásseis	,&fuf'aseIs#
afofáreis	,&fuf'a*eIs#
afofareis	,&fuf&*'eIs#
afofeis	,&fuf'eIs#
afofais	,&fuf'aIs#
afofastes	,&fuf'as#tys#
afofasses	,&fuf'asys#
afofardes	,&fuf'a*@-dys#
afofares	,&fuf'a*ys#
afofes	,&f'ofys#
afofavas	,&fuf'av&s#
afofarias	,&fuf&*'i;&s#
afofadas	,&fuf'ad&s#
afofaras	,&fuf'a*&s#
afofas	,&f'of&s#
afofarão	,&fuf&*'&U~
afofamento	,&fuf&m'eINtU
afofando	,&fuf'&~NdU
afofado	,&fuf'adU
afofo	,&f'OfU
afofassem	,&fuf'aseIN
afofarem	,&fuf'a*eIN
afofem	,&f'OfeIN
afofavam	,&fuf'av&U~
afofariam	,&fuf&*'i;&U~
afofaram	,&fuf'a*&U~
