aberrantemente	ˌabexˌɐ̃ŋtemˈeɪŋtʃɪ	ˌabexɐ̃ŋtʃɪmˈeɪŋtʃɪ
desobedientemente	dˌezobˌedʒiˌeɪŋtemˈeɪŋtʃɪ	dˌezobˌedʒieɪŋtʃɪmˈeɪŋtʃɪ
desoladamente	dˌezolˌadɐmˈeɪŋtʃɪ	dˌezoladɐmˈeɪŋtʃɪ
desonestamente	dˌezonˌestɐmˈeɪŋtʃɪ	dˌezonɛstɐmˈeɪŋtʃɪ
desonrosamente	dˌezoŋxˌozɐmˈeɪŋtʃɪ	dˌezoŋxɔzɐmˈeɪŋtʃɪ
desorçamente	dˌezoɾsɐmˈeɪŋtʃɪ	dˌezɔɾsɐmˈeɪŋtʃɪ
desorientadamente	dˌezoɾˌieɪŋtˌadɐmˈeɪŋtʃɪ	dˌezoɾˌieɪŋtadɐmˈeɪŋtʃɪ
despejadamente	dˌespeʒˌadɐmˈeɪŋtʃɪ	dˌespeʒadɐmˈeɪŋtʃɪ
despiedosamente	dˌespiˌedozɐmˈeɪŋtʃɪ	dˌespiˌedɔzɐmˈeɪŋtʃɪ
desportivamente	dˌespoɾtʃˌivɐmˈeɪŋtʃɪ	dˌespoɾtʃivɐmˈeɪŋtʃɪ
despreocupadamente	dˌespɾeˌokupˌadɐmˈeɪŋtʃɪ	dˌespɾeˌokupadɐmˈeɪŋtʃɪ
despretensiosamente	dˌespɾetˌeɪŋsiˌozɐmˈeɪŋtʃɪ	dˌespɾetˌeɪŋsiɔzɐmˈeɪŋtʃɪ
desregulamente	dˌezxeɡˌulɐmˈeɪŋtʃɪ	dˌezxeɡulɐmˈeɪŋtʃɪ
desrespeitosamente	dˌezxespˌeɪtozɐmˈeɪŋtʃɪ	dˌezxespˌeɪtɔzɐmˈeɪŋtʃɪ
dessincronizadamente	dˌesiŋkɾˌonizˌadɐmˈeɪŋtʃɪ	dˌesiŋkɾˌonizadɐmˈeɪŋtʃɪ
destacadamente	dˌestakˌadɐmˈeɪŋtʃɪ	dˌestakadɐmˈeɪŋtʃɪ
destemidamente	dˌestemˌidɐmˈeɪŋtʃɪ	dˌestemidɐmˈeɪŋtʃɪ
desumanamente	dˌezumˌɐnɐmˈeɪŋtʃɪ	dˌezumɐ̃nɐmˈeɪŋtʃɪ
desvantajosamente	dˌezvɐ̃ŋtˌaʒozɐmˈeɪŋtʃɪ	dˌezvɐ̃ŋtˌaʒɔzɐmˈeɪŋtʃɪ
detalhadamente	dˌetaʎˌadɐmˈeɪŋtʃɪ	dˌetaʎadɐmˈeɪŋtʃɪ
determinantemente	dˌeteɾmˌinɐ̃ŋtemˈeɪŋtʃɪ	dˌeteɾmˌinɐ̃ŋtʃɪmˈeɪŋtʃɪ
deterministicamente	dˌeteɾmˌinistʃˌikɐmˈeɪŋtʃɪ	dˌeteɾmˌinistʃikɐmˈeɪŋtʃɪ
devotadamente	dˌevotˌadɐmˈeɪŋtʃɪ	dˌevotadɐmˈeɪŋtʃɪ
diariamente	dʒˌiaɾˌiɐmˈeɪŋtʃɪ	dʒˌiaɾiɐmˈeɪŋtʃɪ
didaticamente	dʒˌidatʃˌikɐmˈeɪŋtʃɪ	dʒˌidatʃikɐmˈeɪŋtʃɪ
diferenciadamente	dʒˌifeɾˌeɪŋsiˌadɐmˈeɪŋtʃɪ	dʒˌifeɾˌeɪŋsiadɐmˈeɪŋtʃɪ
diferentemente	dʒˌifeɾˌeɪŋtemˈeɪŋtʃɪ	dʒˌifeɾeɪŋtʃɪmˈeɪŋtʃɪ
dignamente	dʒˌiɡnɐmˈeɪŋtʃɪ	dʒiɡnɐmˈeɪŋtʃɪ
diligentemente	dʒˌiliʒˌeɪŋtemˈeɪŋtʃɪ	dʒˌiliʒeɪŋtʃɪmˈeɪŋtʃɪ
dinamicamente	dʒˌinɐmˌikɐmˈeɪŋtʃɪ	dʒˌinɐmikɐmˈeɪŋtʃɪ
diretamente	dʒˌiɾetɐmˈeɪŋtʃɪ	dʒˌiɾɛtɐmˈeɪŋtʃɪ
discretamente	dʒˌiskɾetɐmˈeɪŋtʃɪ	dʒˌiskɾɛtɐmˈeɪŋtʃɪ
disfarçadamente	dʒˌisfaɾsˌadɐmˈeɪŋtʃɪ	dʒˌisfaɾsadɐmˈeɪŋtʃɪ
distintivamente	dʒˌistʃiŋtʃˌivɐmˈeɪŋtʃɪ	dʒˌistʃiŋtʃivɐmˈeɪŋtʃɪ
ditosamente	dʒˌitozɐmˈeɪŋtʃɪ	dʒˌitɔzɐmˈeɪŋtʃɪ
diversamente	dʒˌiveɾsɐmˈeɪŋtʃɪ	dʒˌivɛɾsɐmˈeɪŋtʃɪ
docemente	dˌosemˈeɪŋtʃɪ	dɔsɪmˈeɪŋtʃɪ
dogmaticamente	dˌoɡmatʃˌikɐmˈeɪŋtʃɪ	dˌoɡmatʃikɐmˈeɪŋtʃɪ
doidamente	dˌoɪdɐmˈeɪŋtʃɪ	doɪdɐmˈeɪŋtʃɪ
dolorosamente	dˌoloɾˌozɐmˈeɪŋtʃɪ	dˌoloɾɔzɐmˈeɪŋtʃɪ
dramaticamente	dɾˌɐmatʃˌikɐmˈeɪŋtʃɪ	dɾˌɐmatʃikɐmˈeɪŋtʃɪ
duplamente	dˌuplɐmˈeɪŋtʃɪ	duplɐmˈeɪŋtʃɪ
duplicadamente	dˌuplikˌadɐmˈeɪŋtʃɪ	dˌuplikadɐmˈeɪŋtʃɪ
duramente	dˌuɾɐmˈeɪŋtʃɪ	duɾɐmˈeɪŋtʃɪ
duvidosamente	dˌuvidˌozɐmˈeɪŋtʃɪ	dˌuvidɔzɐmˈeɪŋtʃɪ
educadamente	ˌedukˌadɐmˈeɪŋtʃɪ	ˌedukadɐmˈeɪŋtʃɪ
efetivamente	ˌefetʃˌivɐmˈeɪŋtʃɪ	ˌefetʃivɐmˈeɪŋtʃɪ
eficazmente	ˌefikazmˈeɪŋtʃɪ	ˌefikasmˈeɪŋtʃɪ
eficientemente	ˌefisˌieɪŋtemˈeɪŋtʃɪ	ˌefisˌieɪŋtʃɪmˈeɪŋtʃɪ
efusivamente	ˌefuzˌivɐmˈeɪŋtʃɪ	ˌefuzivɐmˈeɪŋtʃɪ
elasticamente	ˌelastʃˌikɐmˈeɪŋtʃɪ	ˌelastʃikɐmˈeɪŋtʃɪ
elegantemente	ˌeleɡˌɐ̃ŋtemˈeɪŋtʃɪ	ˌeleɡɐ̃ŋtʃɪmˈeɪŋtʃɪ
eletricamente	ˌeletɾˌikɐmˈeɪŋtʃɪ	ˌeletɾikɐmˈeɪŋtʃɪ
elogiosamente	ˌeloʒˌiozɐmˈeɪŋtʃɪ	ˌeloʒˌiɔzɐmˈeɪŋtʃɪ
eloquentemente	ˌelokwˌeɪŋtemˈeɪŋtʃɪ	ˌelokweɪŋtʃɪmˈeɪŋtʃɪ
eloqüentemente	ˌelokwˌeɪŋtemˈeɪŋtʃɪ	ˌelokweɪŋtʃɪmˈeɪŋtʃɪ
embaraçosamente	ˌeɪmbaɾˌasozɐmˈeɪŋtʃɪ	ˌeɪmbaɾˌasɔzɐmˈeɪŋtʃɪ
embriologicamente	ˌeɪmbɾiˌoloʒˌikɐmˈeɪŋtʃɪ	ˌeɪmbɾiˌoloʒikɐmˈeɪŋtʃɪ
embrionariamente	ˌeɪmbɾɪˌonaɾˌiɐmˈeɪŋtʃɪ	ˌeɪmbɾɪˌonaɾiɐmˈeɪŋtʃɪ
eminentemente	ˌeminˌeɪŋtemˈeɪŋtʃɪ	ˌemineɪŋtʃɪmˈeɪŋtʃɪ
empaticamente	ˌeɪmpatʃˌikɐmˈeɪŋtʃɪ	ˌeɪmpatʃikɐmˈeɪŋtʃɪ
empenhadamente	ˌeɪmpeɲˌadɐmˈeɪŋtʃɪ	ˌeɪmpeɲadɐmˈeɪŋtʃɪ
emperradamente	ˌeɪmpexˌadɐmˈeɪŋtʃɪ	ˌeɪmpexadɐmˈeɪŋtʃɪ
empiricamente	ˌeɪmpiɾˌikɐmˈeɪŋtʃɪ	ˌeɪmpiɾikɐmˈeɪŋtʃɪ
encobertamente	ˌeɪŋkobˌeɾtɐmˈeɪŋtʃɪ	ˌeɪŋkobɛɾtɐmˈeɪŋtʃɪ
energicamente	ˌeneɾʒˌikɐmˈeɪŋtʃɪ	ˌeneɾʒikɐmˈeɪŋtʃɪ
enfadonhamente	ˌeɪŋfadˌoɲɐmˈeɪŋtʃɪ	ˌeɪŋfadoɲɐmˈeɪŋtʃɪ
enfaticamente	ˌeɪŋfatʃˌikɐmˈeɪŋtʃɪ	ˌeɪŋfatʃikɐmˈeɪŋtʃɪ
engenhosamente	ˌeɪŋʒeɲˌozɐmˈeɪŋtʃɪ	ˌeɪŋʒeɲɔzɐmˈeɪŋtʃɪ
enormemente	ˌenoɾmemˈeɪŋtʃɪ	ˌenɔɾmɪmˈeɪŋtʃɪ
ensonadamente	ˌeɪŋsonˌadɐmˈeɪŋtʃɪ	ˌeɪŋsonadɐmˈeɪŋtʃɪ
entranhadamente	ˌeɪŋtɾɐ̃ɲˌadɐmˈeɪŋtʃɪ	ˌeɪŋtɾɐ̃ɲadɐmˈeɪŋtʃɪ
entristecedoramente	ˌeɪŋtɾistˌesedˌoɾɐmˈeɪŋtʃɪ	ˌeɪŋtɾistˌesedoɾɐmˈeɪŋtʃɪ
entusiasticamente	ˌeɪŋtuzˌiastʃˌikɐmˈeɪŋtʃɪ	ˌeɪŋtuzˌiastʃikɐmˈeɪŋtʃɪ
equivalentemente	ˌekivˌaleɪŋtemˈeɪŋtʃɪ	ˌekivˌaleɪŋtʃɪmˈeɪŋtʃɪ
erroneamente	ˌexonˌeɐmˈeɪŋtʃɪ	ˌexoneɐmˈeɪŋtʃɪ
escabrosamente	ˌeskabɾˌozɐmˈeɪŋtʃɪ	ˌeskabɾɔzɐmˈeɪŋtʃɪ
escandalosamente	ˌeskɐ̃ŋdˌalozɐmˈeɪŋtʃɪ	ˌeskɐ̃ŋdˌalɔzɐmˈeɪŋtʃɪ
escrupulosamente	ˌeskɾupˌulozɐmˈeɪŋtʃɪ	ˌeskɾupˌulɔzɐmˈeɪŋtʃɪ
esforçadamente	ˌesfoɾsˌadɐmˈeɪŋtʃɪ	ˌesfoɾsadɐmˈeɪŋtʃɪ
espaçadamente	ˌespasˌadɐmˈeɪŋtʃɪ	ˌespasadɐmˈeɪŋtʃɪ
espalhafatosamente	ˌespaʎˌafatˌozɐmˈeɪŋtʃɪ	ˌespaʎˌafatɔzɐmˈeɪŋtʃɪ
espantosamente	ˌespɐ̃ŋtˌozɐmˈeɪŋtʃɪ	ˌespɐ̃ŋtɔzɐmˈeɪŋtʃɪ
esperançosamente	ˌespeɾˌɐ̃ŋsozɐmˈeɪŋtʃɪ	ˌespeɾˌɐ̃ŋsɔzɐmˈeɪŋtʃɪ
espirituosamente	ˌespiɾˌitwozɐmˈeɪŋtʃɪ	ˌespiɾˌitwɔzɐmˈeɪŋtʃɪ
esplendidamente	ˌespleɪŋdʒˌidɐmˈeɪŋtʃɪ	ˌespleɪŋdʒidɐmˈeɪŋtʃɪ
estaticamente	ˌestatʃˌikɐmˈeɪŋtʃɪ	ˌestatʃikɐmˈeɪŋtʃɪ
estatutariamente	ˌestatˌutaɾˌiɐmˈeɪŋtʃɪ	ˌestatˌutaɾiɐmˈeɪŋtʃɪ
esteticamente	ˌestetʃˌikɐmˈeɪŋtʃɪ	ˌestetʃikɐmˈeɪŋtʃɪ
estoicamente	ˌestoɪkɐmˈeɪŋtʃɪ	ˌestɔɪkɐmˈeɪŋtʃɪ
estrepitosamente	ˌestɾepˌitozɐmˈeɪŋtʃɪ	ˌestɾepˌitɔzɐmˈeɪŋtʃɪ
estrondosamente	ˌestɾoŋdˌozɐmˈeɪŋtʃɪ	ˌestɾoŋdɔzɐmˈeɪŋtʃɪ
estupendamente	ˌestupˌeɪŋdɐmˈeɪŋtʃɪ	ˌestupeɪŋdɐmˈeɪŋtʃɪ
estupidamente	ˌestupˌidɐmˈeɪŋtʃɪ	ˌestupidɐmˈeɪŋtʃɪ
eternamente	ˌeteɾnɐmˈeɪŋtʃɪ	ˌetɛɾnɐmˈeɪŋtʃɪ
etimologicamente	ˌetʃimˌoloʒˌikɐmˈeɪŋtʃɪ	ˌetʃimˌoloʒikɐmˈeɪŋtʃɪ
evasivamente	ˌevazˌivɐmˈeɪŋtʃɪ	ˌevazivɐmˈeɪŋtʃɪ
evidentemente	ˌevidˌeɪŋtemˈeɪŋtʃɪ	ˌevideɪŋtʃɪmˈeɪŋtʃɪ
exaustivamente	ˌezaʊstʃˌivɐmˈeɪŋtʃɪ	ˌezaʊstʃivɐmˈeɪŋtʃɪ
excelentemente	ˌeselˌeɪŋtemˈeɪŋtʃɪ	ˌeseleɪŋtʃɪmˈeɪŋtʃɪ
excessivamente	ˌesesˌivɐmˈeɪŋtʃɪ	ˌesesivɐmˈeɪŋtʃɪ
exclusivamente	ˌeskluzˌivɐmˈeɪŋtʃɪ	ˌeskluzivɐmˈeɪŋtʃɪ
exoticamente	ˌezotʃˌikɐmˈeɪŋtʃɪ	ˌezotʃikɐmˈeɪŋtʃɪ
expeditamente	ˌespedʒˌitɐmˈeɪŋtʃɪ	ˌespedʒitɐmˈeɪŋtʃɪ
explicitamente	ˌesplisˌitɐmˈeɪŋtʃɪ	ˌesplisitɐmˈeɪŋtʃɪ
expressamente	ˌespɾesɐmˈeɪŋtʃɪ	ˌespɾɛsɐmˈeɪŋtʃɪ
expressivamente	ˌespɾesˌivɐmˈeɪŋtʃɪ	ˌespɾesivɐmˈeɪŋtʃɪ
extemporaneamente	ˌesteɪmpˌoɾɐnˌeɐmˈeɪŋtʃɪ	ˌesteɪmpˌoɾɐneɐmˈeɪŋtʃɪ
extensivamente	ˌesteɪŋsˌivɐmˈeɪŋtʃɪ	ˌesteɪŋsivɐmˈeɪŋtʃɪ
externamente	ˌesteɾnɐmˈeɪŋtʃɪ	ˌestɛɾnɐmˈeɪŋtʃɪ
extravagantemente	ˌestɾavˌaɡɐ̃ŋtemˈeɪŋtʃɪ	ˌestɾavˌaɡɐ̃ŋtʃɪmˈeɪŋtʃɪ
extremosamente	ˌestɾemˌozɐmˈeɪŋtʃɪ	ˌestɾemɔzɐmˈeɪŋtʃɪ
extrudidamente	ˌestɾudʒˌidɐmˈeɪŋtʃɪ	ˌestɾudʒidɐmˈeɪŋtʃɪ
exuberantemente	ˌezubˌeɾɐ̃ŋtemˈeɪŋtʃɪ	ˌezubˌeɾɐ̃ŋtʃɪmˈeɪŋtʃɪ
fabulosamente	fˌabulˌozɐmˈeɪŋtʃɪ	fˌabulɔzɐmˈeɪŋtʃɪ
falaciosamente	fˌalasˌiozɐmˈeɪŋtʃɪ	fˌalasˌiɔzɐmˈeɪŋtʃɪ
falsamente	fˌaʊsɐmˈeɪŋtʃɪ	faʊsɐmˈeɪŋtʃɪ
fanaticamente	fˌɐnatʃˌikɐmˈeɪŋtʃɪ	fˌɐnatʃikɐmˈeɪŋtʃɪ
fantasticamente	fˌɐ̃ŋtastʃˌikɐmˈeɪŋtʃɪ	fˌɐ̃ŋtastʃikɐmˈeɪŋtʃɪ
fartamente	fˌaɾtɐmˈeɪŋtʃɪ	faɾtɐmˈeɪŋtʃɪ
fatigadamente	fˌatʃiɡˌadɐmˈeɪŋtʃɪ	fˌatʃiɡadɐmˈeɪŋtʃɪ
faustosamente	fˌaʊstozɐmˈeɪŋtʃɪ	fˌaʊstɔzɐmˈeɪŋtʃɪ
feiamente	fˌeɪɐmˈeɪŋtʃɪ	feɪɐmˈeɪŋtʃɪ
felizmente	fˌelizmˈeɪŋtʃɪ	fˌelismˈeɪŋtʃɪ
ferozmente	fˌeɾozmˈeɪŋtʃɪ	fˌeɾɔsmˈeɪŋtʃɪ
fervorosamente	fˌeɾvoɾˌozɐmˈeɪŋtʃɪ	fˌeɾvoɾɔzɐmˈeɪŋtʃɪ
ficticiamente	fˌiktʃisˌiɐmˈeɪŋtʃɪ	fˌiktʃisiɐmˈeɪŋtʃɪ
figuradamente	fˌiɡuɾˌadɐmˈeɪŋtʃɪ	fˌiɡuɾadɐmˈeɪŋtʃɪ
finamente	fˌinɐmˈeɪŋtʃɪ	finɐmˈeɪŋtʃɪ
financeiramente	fˌinɐ̃ŋsˌeɪɾɐmˈeɪŋtʃɪ	fˌinɐ̃ŋseɪɾɐmˈeɪŋtʃɪ
firmemente	fˌiɾmemˈeɪŋtʃɪ	fiɾmɪmˈeɪŋtʃɪ
fisiologicamente	fˌiziˌoloʒˌikɐmˈeɪŋtʃɪ	fˌiziˌoloʒikɐmˈeɪŋtʃɪ
fixamente	fˌiksɐmˈeɪŋtʃɪ	fiksɐmˈeɪŋtʃɪ
flagrantemente	flˌaɡɾɐ̃ŋtemˈeɪŋtʃɪ	flˌaɡɾɐ̃ŋtʃɪmˈeɪŋtʃɪ
fleumaticamente	flˌeʊmatʃˌikɐmˈeɪŋtʃɪ	flˌeʊmatʃikɐmˈeɪŋtʃɪ
fluentemente	flˌueɪŋtemˈeɪŋtʃɪ	flˌueɪŋtʃɪmˈeɪŋtʃɪ
fogosamente	fˌoɡozɐmˈeɪŋtʃɪ	fˌoɡɔzɐmˈeɪŋtʃɪ
foneticamente	fˌonetʃˌikɐmˈeɪŋtʃɪ	fˌonetʃikɐmˈeɪŋtʃɪ
forçosamente	fˌoɾsozɐmˈeɪŋtʃɪ	fˌoɾsɔzɐmˈeɪŋtʃɪ
fortemente	fˌoɾtemˈeɪŋtʃɪ	fɔɾtʃɪmˈeɪŋtʃɪ
fracamente	fɾˌakɐmˈeɪŋtʃɪ	fɾakɐmˈeɪŋtʃɪ
francamente	fɾˌɐ̃ŋkɐmˈeɪŋtʃɪ	fɾɐ̃ŋkɐmˈeɪŋtʃɪ
fraudulentamente	fɾˌaʊdulˌeɪŋtɐmˈeɪŋtʃɪ	fɾˌaʊduleɪŋtɐmˈeɪŋtʃɪ
freneticamente	fɾˌenetʃˌikɐmˈeɪŋtʃɪ	fɾˌenetʃikɐmˈeɪŋtʃɪ
frequentemente	fɾˌekweɪŋtemˈeɪŋtʃɪ	fɾˌekweɪŋtʃɪmˈeɪŋtʃɪ
freqüentemente	fɾˌekweɪŋtemˈeɪŋtʃɪ	fɾˌekweɪŋtʃɪmˈeɪŋtʃɪ
friamente	fɾˌiɐmˈeɪŋtʃɪ	fɾiɐmˈeɪŋtʃɪ
frivolamente	fɾˌivolɐmˈeɪŋtʃɪ	fɾˌivɔlɐmˈeɪŋtʃɪ
froixamente	fɾˌoɪksɐmˈeɪŋtʃɪ	fɾoɪksɐmˈeɪŋtʃɪ
frouxamente	fɾˌoʊʃɐmˈeɪŋtʃɪ	fɾoʊʃɐmˈeɪŋtʃɪ
fugazmente	fˌuɡazmˈeɪŋtʃɪ	fˌuɡasmˈeɪŋtʃɪ
fulgurantemente	fˌuwɡuɾˌɐ̃ŋtemˈeɪŋtʃɪ	fˌuwɡuɾɐ̃ŋtʃɪmˈeɪŋtʃɪ
fundamente	fˌũŋdɐmˈeɪŋtʃɪ	fũŋdɐmˈeɪŋtʃɪ
furiosamente	fˌuɾiˌozɐmˈeɪŋtʃɪ	fˌuɾiɔzɐmˈeɪŋtʃɪ
galantemente	ɡˌalɐ̃ŋtemˈeɪŋtʃɪ	ɡˌalɐ̃ŋtʃɪmˈeɪŋtʃɪ
garantidamente	ɡˌaɾɐ̃ŋtʃˌidɐmˈeɪŋtʃɪ	ɡˌaɾɐ̃ŋtʃidɐmˈeɪŋtʃɪ
generalizadamente	ʒˌeneɾˌalizˌadɐmˈeɪŋtʃɪ	ʒˌeneɾˌalizadɐmˈeɪŋtʃɪ
genericamente	ʒˌeneɾˌikɐmˈeɪŋtʃɪ	ʒˌeneɾikɐmˈeɪŋtʃɪ
generosamente	ʒˌeneɾˌozɐmˈeɪŋtʃɪ	ʒˌeneɾɔzɐmˈeɪŋtʃɪ
geneticamente	ʒˌenetʃˌikɐmˈeɪŋtʃɪ	ʒˌenetʃikɐmˈeɪŋtʃɪ
gloriosamente	ɡlˌoɾiˌozɐmˈeɪŋtʃɪ	ɡlˌoɾiɔzɐmˈeɪŋtʃɪ
gostosamente	ɡˌostozɐmˈeɪŋtʃɪ	ɡˌostɔzɐmˈeɪŋtʃɪ
graciosamente	ɡɾˌasiˌozɐmˈeɪŋtʃɪ	ɡɾˌasiɔzɐmˈeɪŋtʃɪ
gradativamente	ɡɾˌadatʃˌivɐmˈeɪŋtʃɪ	ɡɾˌadatʃivɐmˈeɪŋtʃɪ
graduadamente	ɡɾˌaduˌadɐmˈeɪŋtʃɪ	ɡɾˌaduadɐmˈeɪŋtʃɪ
grandemente	ɡɾˌɐ̃ŋdemˈeɪŋtʃɪ	ɡɾɐ̃ŋdʒɪmˈeɪŋtʃɪ
grandiosamente	ɡɾˌɐ̃ŋdʒiˌozɐmˈeɪŋtʃɪ	ɡɾˌɐ̃ŋdʒiɔzɐmˈeɪŋtʃɪ
gratamente	ɡɾˌatɐmˈeɪŋtʃɪ	ɡɾatɐmˈeɪŋtʃɪ
gravemente	ɡɾˌavemˈeɪŋtʃɪ	ɡɾavɪmˈeɪŋtʃɪ
habilidosamente	ˌabilˌidozɐmˈeɪŋtʃɪ	ˌabilˌidɔzɐmˈeɪŋtʃɪ
harmonicamente	ˌaɾmonˌikɐmˈeɪŋtʃɪ	ˌaɾmonikɐmˈeɪŋtʃɪ
harmoniosamente	ˌaɾmonˌiozɐmˈeɪŋtʃɪ	ˌaɾmonˌiɔzɐmˈeɪŋtʃɪ
hereditariamente	ˌeɾedʒˌitaɾˌiɐmˈeɪŋtʃɪ	ˌeɾedʒˌitaɾiɐmˈeɪŋtʃɪ
hermeticamente	ˌeɾmetʃˌikɐmˈeɪŋtʃɪ	ˌeɾmetʃikɐmˈeɪŋtʃɪ
heroicamente	ˌeɾoɪkɐmˈeɪŋtʃɪ	ˌeɾɔɪkɐmˈeɪŋtʃɪ
hesitantemente	ˌezitˌɐ̃ŋtemˈeɪŋtʃɪ	ˌezitɐ̃ŋtʃɪmˈeɪŋtʃɪ
heuristicamente	ˌeʊɾistʃˌikɐmˈeɪŋtʃɪ	ˌeʊɾistʃikɐmˈeɪŋtʃɪ
hidraulicamente	ˌidɾaʊlˌikɐmˈeɪŋtʃɪ	ˌidɾaʊlikɐmˈeɪŋtʃɪ
hipocritamente	ˌipokɾˌitɐmˈeɪŋtʃɪ	ˌipokɾitɐmˈeɪŋtʃɪ
histericamente	ˌisteɾˌikɐmˈeɪŋtʃɪ	ˌisteɾikɐmˈeɪŋtʃɪ
historicamente	ˌistoɾˌikɐmˈeɪŋtʃɪ	ˌistoɾikɐmˈeɪŋtʃɪ
honestamente	ˌonestɐmˈeɪŋtʃɪ	ˌonɛstɐmˈeɪŋtʃɪ
honrosamente	ˌoŋxozɐmˈeɪŋtʃɪ	ˌoŋxɔzɐmˈeɪŋtʃɪ
humanamente	ˌumɐnɐmˈeɪŋtʃɪ	ˌumɐ̃nɐmˈeɪŋtʃɪ
humildemente	ˌumiʊdemˈeɪŋtʃɪ	ˌumiʊdʒɪmˈeɪŋtʃɪ
humildosamente	ˌumiʊdˌozɐmˈeɪŋtʃɪ	ˌumiʊdɔzɐmˈeɪŋtʃɪ
identicamente	ˌideɪŋtʃˌikɐmˈeɪŋtʃɪ	ˌideɪŋtʃikɐmˈeɪŋtʃɪ
ideologicamente	ˌideˌoloʒˌikɐmˈeɪŋtʃɪ	ˌideˌoloʒikɐmˈeɪŋtʃɪ
idilicamente	ˌidʒilˌikɐmˈeɪŋtʃɪ	ˌidʒilikɐmˈeɪŋtʃɪ
ignorantemente	ˌiɡnoɾˌɐ̃ŋtemˈeɪŋtʃɪ	ˌiɡnoɾɐ̃ŋtʃɪmˈeɪŋtʃɪ
ilicitamente	ˌilisˌitɐmˈeɪŋtʃɪ	ˌilisitɐmˈeɪŋtʃɪ
imaginariamente	ˌimaʒˌinaɾˌiɐmˈeɪŋtʃɪ	ˌimaʒˌinaɾiɐmˈeɪŋtʃɪ
imodestamente	ˌimodˌestɐmˈeɪŋtʃɪ	ˌimodɛstɐmˈeɪŋtʃɪ
impacientemente	ˌimpasˌieɪŋtemˈeɪŋtʃɪ	ˌimpasˌieɪŋtʃɪmˈeɪŋtʃɪ
impassivamente	ˌimpasˌivɐmˈeɪŋtʃɪ	ˌimpasivɐmˈeɪŋtʃɪ
impavidamente	ˌimpavˌidɐmˈeɪŋtʃɪ	ˌimpavidɐmˈeɪŋtʃɪ
impenitentemente	ˌimpenˌiteɪŋtemˈeɪŋtʃɪ	ˌimpenˌiteɪŋtʃɪmˈeɪŋtʃɪ
impensadamente	ˌimpeɪŋsˌadɐmˈeɪŋtʃɪ	ˌimpeɪŋsadɐmˈeɪŋtʃɪ
imperfeitamente	ˌimpeɾfˌeɪtɐmˈeɪŋtʃɪ	ˌimpeɾfeɪtɐmˈeɪŋtʃɪ
imperiosamente	ˌimpeɾˌiozɐmˈeɪŋtʃɪ	ˌimpeɾˌiɔzɐmˈeɪŋtʃɪ
impertinentemente	ˌimpeɾtʃˌineɪŋtemˈeɪŋtʃɪ	ˌimpeɾtʃˌineɪŋtʃɪmˈeɪŋtʃɪ
impetuosamente	ˌimpetwˌozɐmˈeɪŋtʃɪ	ˌimpetwɔzɐmˈeɪŋtʃɪ
impiedosamente	ˌimpiˌedozɐmˈeɪŋtʃɪ	ˌimpiˌedɔzɐmˈeɪŋtʃɪ
implemente	ˌimplemˈeɪŋtʃɪ	implɪmˈeɪŋtʃɪ
implicitamente	ˌimplisˌitɐmˈeɪŋtʃɪ	ˌimplisitɐmˈeɪŋtʃɪ
imponentemente	ˌimponˌeɪŋtemˈeɪŋtʃɪ	ˌimponeɪŋtʃɪmˈeɪŋtʃɪ
importunamente	ˌimpoɾtˌunɐmˈeɪŋtʃɪ	ˌimpoɾtunɐmˈeɪŋtʃɪ
impotentemente	ˌimpotˌeɪŋtemˈeɪŋtʃɪ	ˌimpoteɪŋtʃɪmˈeɪŋtʃɪ
impressivamente	ˌimpɾesˌivɐmˈeɪŋtʃɪ	ˌimpɾesivɐmˈeɪŋtʃɪ
imprevistamente	ˌimpɾevˌistɐmˈeɪŋtʃɪ	ˌimpɾevistɐmˈeɪŋtʃɪ
impropriamente	ˌimpɾopɾˌiɐmˈeɪŋtʃɪ	ˌimpɾopɾiɐmˈeɪŋtʃɪ
imprudentemente	ˌimpɾudˌeɪŋtemˈeɪŋtʃɪ	ˌimpɾudeɪŋtʃɪmˈeɪŋtʃɪ
impudentemente	ˌimpudˌeɪŋtemˈeɪŋtʃɪ	ˌimpudeɪŋtʃɪmˈeɪŋtʃɪ
impulsivamente	ˌimpuwsˌivɐmˈeɪŋtʃɪ	ˌimpuwsivɐmˈeɪŋtʃɪ
impunemente	ˌimpunemˈeɪŋtʃɪ	ˌimpunɪmˈeɪŋtʃɪ
inarticuladamente	ˌinaɾtʃˌikulˌadɐmˈeɪŋtʃɪ	ˌinaɾtʃˌikuladɐmˈeɪŋtʃɪ
inativamente	ˌinatʃˌivɐmˈeɪŋtʃɪ	ˌinatʃivɐmˈeɪŋtʃɪ
incertamente	ˌiŋseɾtɐmˈeɪŋtʃɪ	ˌiŋsɛɾtɐmˈeɪŋtʃɪ
incessantemente	ˌiŋsesˌɐ̃ŋtemˈeɪŋtʃɪ	ˌiŋsesɐ̃ŋtʃɪmˈeɪŋtʃɪ
incestuosamente	ˌiŋsestwˌozɐmˈeɪŋtʃɪ	ˌiŋsestwɔzɐmˈeɪŋtʃɪ
incipientemente	ˌiŋsipˌieɪŋtemˈeɪŋtʃɪ	ˌiŋsipˌieɪŋtʃɪmˈeɪŋtʃɪ
