aberrantemente	ˌabexˌɐ̃ŋtemˈeɪŋtʃɪ	ˌabexɐ̃ŋtʃɪmˈeɪŋtʃɪ
cilindricamente	sˌiliŋdɾˌikɐmˈeɪŋtʃɪ	sˌiliŋdɾikɐmˈeɪŋtʃɪ
cimente	sˌimˈeɪŋtʃɪ	sˌimˈeɪŋtʃɪ
cinematicamente	sˌinemˌatʃikɐmˈeɪŋtʃɪ	sˌinemˌatʃikɐmˈeɪŋtʃɪ
cinicamente	sˌinikɐmˈeɪŋtʃɪ	sˌinikɐmˈeɪŋtʃɪ
ciosamente	sˌiozɐmˈeɪŋtʃɪ	sˌiɔzɐmˈeɪŋtʃɪ
circuladamente	sˌiɾkulˌadɐmˈeɪŋtʃɪ	sˌiɾkuladɐmˈeɪŋtʃɪ
circularmente	sˌiɾkulaɾmˈeɪŋtʃɪ	sˌiɾkulaɾmˈeɪŋtʃɪ
cirurgicamente	sˌiɾuɾʒˌikɐmˈeɪŋtʃɪ	sˌiɾuɾʒikɐmˈeɪŋtʃɪ
civilmente	sˌiviʊmˈeɪŋtʃɪ	sˌiviʊmˈeɪŋtʃɪ
clamorosamente	klˌɐmoɾˌozɐmˈeɪŋtʃɪ	klˌɐmoɾɔzɐmˈeɪŋtʃɪ
clandestinamente	klˌɐ̃ŋdestʃˌinɐmˈeɪŋtʃɪ	klˌɐ̃ŋdestʃinɐmˈeɪŋtʃɪ
claramente	klˌaɾɐmˈeɪŋtʃɪ	klaɾɐmˈeɪŋtʃɪ
classicamente	klˌasikɐmˈeɪŋtʃɪ	klˌasikɐmˈeɪŋtʃɪ
clemente	klˌemˈeɪŋtʃɪ	klˌemˈeɪŋtʃɪ
Clemente	klˌemˈeɪŋtʃɪ	klˌemˈeɪŋtʃɪ
climaticamente	klˌimatʃˌikɐmˈeɪŋtʃɪ	klˌimatʃikɐmˈeɪŋtʃɪ
clinicamente	klˌinikɐmˈeɪŋtʃɪ	klˌinikɐmˈeɪŋtʃɪ
coerentemente	kˌoeɾˌeɪŋtemˈeɪŋtʃɪ	kˌoeɾeɪŋtʃɪmˈeɪŋtʃɪ
cognitivamente	kˌoɡnitʃˌivɐmˈeɪŋtʃɪ	kˌoɡnitʃivɐmˈeɪŋtʃɪ
colateralmente	kˌolatˌeɾaʊmˈeɪŋtʃɪ	kˌolatˌeɾaʊmˈeɪŋtʃɪ
colegialmente	kˌoleʒˌiaʊmˈeɪŋtʃɪ	kˌoleʒˌiaʊmˈeɪŋtʃɪ
colericamente	kˌoleɾˌikɐmˈeɪŋtʃɪ	kˌoleɾikɐmˈeɪŋtʃɪ
coletivamente	kˌoletʃˌivɐmˈeɪŋtʃɪ	kˌoletʃivɐmˈeɪŋtʃɪ
comedidamente	kˌomedʒˌidɐmˈeɪŋtʃɪ	kˌomedʒidɐmˈeɪŋtʃɪ
comente	kˌomˈeɪŋtʃɪ	kˌomˈeɪŋtʃɪ
comercialmente	kˌomeɾsˌiaʊmˈeɪŋtʃɪ	kˌomeɾsˌiaʊmˈeɪŋtʃɪ
comodamente	kˌomodɐmˈeɪŋtʃɪ	kˌomɔdɐmˈeɪŋtʃɪ
comovedoramente	kˌomovˌedoɾɐmˈeɪŋtʃɪ	kˌomovˌedoɾɐmˈeɪŋtʃɪ
comparativamente	kˌompaɾˌatʃivɐmˈeɪŋtʃɪ	kˌompaɾˌatʃivɐmˈeɪŋtʃɪ
compartimente	kˌompaɾtʃimˈeɪŋtʃɪ	kˌompaɾtʃimˈeɪŋtʃɪ
compassadamente	kˌompasˌadɐmˈeɪŋtʃɪ	kˌompasadɐmˈeɪŋtʃɪ
compenetradamente	kˌompenˌetɾadɐmˈeɪŋtʃɪ	kˌompenˌetɾadɐmˈeɪŋtʃɪ
competitivamente	kˌompetʃˌitʃivɐmˈeɪŋtʃɪ	kˌompetʃˌitʃivɐmˈeɪŋtʃɪ
complacentemente	kˌomplasˌeɪŋtemˈeɪŋtʃɪ	kˌomplaseɪŋtʃɪmˈeɪŋtʃɪ
complementarmente	kˌomplemˌeɪŋtaɾmˈeɪŋtʃɪ	kˌomplemˌeɪŋtaɾmˈeɪŋtʃɪ
complemente	kˌomplemˈeɪŋtʃɪ	komplɪmˈeɪŋtʃɪ
completamente	kˌompletɐmˈeɪŋtʃɪ	kˌomplɛtɐmˈeɪŋtʃɪ
complexamente	kˌompleksɐmˈeɪŋtʃɪ	kˌomplɛksɐmˈeɪŋtʃɪ
composicionalmente	kˌompozˌisɪˌonaʊmˈeɪŋtʃɪ	kˌompozˌisɪˌonaʊmˈeɪŋtʃɪ
compreensivamente	kˌompɾeˌeɪŋsivɐmˈeɪŋtʃɪ	kˌompɾeˌeɪŋsivɐmˈeɪŋtʃɪ
compreensivelmente	kˌompɾeˌeɪŋsivɛʊmˈeɪŋtʃɪ	kˌompɾeˌeɪŋsivɛʊmˈeɪŋtʃɪ
comprimente	kˌompɾimˈeɪŋtʃɪ	kˌompɾimˈeɪŋtʃɪ
comprovadamente	kˌompɾovˌadɐmˈeɪŋtʃɪ	kˌompɾovadɐmˈeɪŋtʃɪ
compulsivamente	kˌompuwsˌivɐmˈeɪŋtʃɪ	kˌompuwsivɐmˈeɪŋtʃɪ
computacionalmente	kˌomputˌasɪˌonaʊmˈeɪŋtʃɪ	kˌomputˌasɪˌonaʊmˈeɪŋtʃɪ
comumente	kˌomumˈeɪŋtʃɪ	kˌomumˈeɪŋtʃɪ
comummente	kˌomũmmˈeɪŋtʃɪ	kˌomũŋmˈeɪŋtʃɪ
conceitualmente	kˌoŋseɪtˌuaʊmˈeɪŋtʃɪ	kˌoŋseɪtˌuaʊmˈeɪŋtʃɪ
conceituosamente	kˌoŋseɪtwˌozɐmˈeɪŋtʃɪ	kˌoŋseɪtwɔzɐmˈeɪŋtʃɪ
concentricamente	kˌoŋseɪŋtɾˌikɐmˈeɪŋtʃɪ	kˌoŋseɪŋtɾikɐmˈeɪŋtʃɪ
conceptualmente	kˌoŋseptˌuaʊmˈeɪŋtʃɪ	kˌoŋseptˌuaʊmˈeɪŋtʃɪ
concertadamente	kˌoŋseɾtˌadɐmˈeɪŋtʃɪ	kˌoŋseɾtadɐmˈeɪŋtʃɪ
concetualmente	kˌoŋsetˌuaʊmˈeɪŋtʃɪ	kˌoŋsetˌuaʊmˈeɪŋtʃɪ
concisamente	kˌoŋsizɐmˈeɪŋtʃɪ	kˌoŋsizɐmˈeɪŋtʃɪ
conclusivamente	kˌoŋkluzˌivɐmˈeɪŋtʃɪ	kˌoŋkluzivɐmˈeɪŋtʃɪ
concomitantemente	kˌoŋkomˌitɐ̃ŋtemˈeɪŋtʃɪ	kˌoŋkomˌitɐ̃ŋtʃɪmˈeɪŋtʃɪ
concorrencialmente	kˌoŋkoxˌeɪŋsiaʊmˈeɪŋtʃɪ	kˌoŋkoxˌeɪŋsiaʊmˈeɪŋtʃɪ
concorrentemente	kˌoŋkoxˌeɪŋtemˈeɪŋtʃɪ	kˌoŋkoxeɪŋtʃɪmˈeɪŋtʃɪ
concretamente	kˌoŋkɾetɐmˈeɪŋtʃɪ	kˌoŋkɾɛtɐmˈeɪŋtʃɪ
condicionalmente	kˌoŋdʒisˌɪonaʊmˈeɪŋtʃɪ	kˌoŋdʒisˌɪonaʊmˈeɪŋtʃɪ
condignamente	kˌoŋdʒiɡnɐmˈeɪŋtʃɪ	kˌoŋdʒiɡnɐmˈeɪŋtʃɪ
condimente	kˌoŋdʒimˈeɪŋtʃɪ	kˌoŋdʒimˈeɪŋtʃɪ
confiadamente	kˌoŋfiˌadɐmˈeɪŋtʃɪ	kˌoŋfiadɐmˈeɪŋtʃɪ
confidencialmente	kˌoŋfidˌeɪŋsiaʊmˈeɪŋtʃɪ	kˌoŋfidˌeɪŋsiaʊmˈeɪŋtʃɪ
confortavelmente	kˌoŋfoɾtˌavɛʊmˈeɪŋtʃɪ	kˌoŋfoɾtˌavɛʊmˈeɪŋtʃɪ
confusamente	kˌoŋfuzɐmˈeɪŋtʃɪ	kˌoŋfuzɐmˈeɪŋtʃɪ
conjuntamente	kˌoŋʒũŋtɐmˈeɪŋtʃɪ	kˌoŋʒũŋtɐmˈeɪŋtʃɪ
conscienciosamente	kˌoŋsiˌeɪŋsiˌozɐmˈeɪŋtʃɪ	kˌoŋsiˌeɪŋsiɔzɐmˈeɪŋtʃɪ
conscientemente	kˌoŋsiˌeɪŋtemˈeɪŋtʃɪ	kˌoŋsieɪŋtʃɪmˈeɪŋtʃɪ
consecutivamente	kˌoŋsekˌutʃivɐmˈeɪŋtʃɪ	kˌoŋsekˌutʃivɐmˈeɪŋtʃɪ
conseguintemente	kˌoŋseɡˌiŋtemˈeɪŋtʃɪ	kˌoŋseɡiŋtʃɪmˈeɪŋtʃɪ
conselheiramente	kˌoŋseʎˌeɪɾɐmˈeɪŋtʃɪ	kˌoŋseʎeɪɾɐmˈeɪŋtʃɪ
consensualmente	kˌoŋseɪŋsˌuaʊmˈeɪŋtʃɪ	kˌoŋseɪŋsˌuaʊmˈeɪŋtʃɪ
consequentemente	kˌoŋsekwˌeɪŋtemˈeɪŋtʃɪ	kˌoŋsekweɪŋtʃɪmˈeɪŋtʃɪ
conseqüentemente	kˌoŋsekwˌeɪŋtemˈeɪŋtʃɪ	kˌoŋsekweɪŋtʃɪmˈeɪŋtʃɪ
consideravelmente	kˌoŋsidˌeɾavɛʊmˈeɪŋtʃɪ	kˌoŋsidˌeɾavɛʊmˈeɪŋtʃɪ
consistentemente	kˌoŋsistˌeɪŋtemˈeɪŋtʃɪ	kˌoŋsisteɪŋtʃɪmˈeɪŋtʃɪ
constantemente	kˌoŋstɐ̃ŋtemˈeɪŋtʃɪ	kˌoŋstɐ̃ŋtʃɪmˈeɪŋtʃɪ
constitucionalmente	kˌoŋstʃitˌusɪˌonaʊmˈeɪŋtʃɪ	kˌoŋstʃitˌusɪˌonaʊmˈeɪŋtʃɪ
construtivamente	kˌoŋstɾutʃˌivɐmˈeɪŋtʃɪ	kˌoŋstɾutʃivɐmˈeɪŋtʃɪ
contabilisticamente	kˌoŋtabˌilistʃˌikɐmˈeɪŋtʃɪ	kˌoŋtabˌilistʃikɐmˈeɪŋtʃɪ
contiguamente	kˌoŋtʃiɡwɐmˈeɪŋtʃɪ	kˌoŋtʃiɡwɐmˈeɪŋtʃɪ
contingentemente	kˌoŋtʃiŋʒˌeɪŋtemˈeɪŋtʃɪ	kˌoŋtʃiŋʒeɪŋtʃɪmˈeɪŋtʃɪ
continuadamente	kˌoŋtʃinˌuadɐmˈeɪŋtʃɪ	kˌoŋtʃinˌuadɐmˈeɪŋtʃɪ
continuamente	kˌoŋtʃinˌuɐmˈeɪŋtʃɪ	kˌoŋtʃinuɐmˈeɪŋtʃɪ
contraditoriamente	kˌoŋtɾadʒˌitoɾˌiɐmˈeɪŋtʃɪ	kˌoŋtɾadʒˌitoɾiɐmˈeɪŋtʃɪ
contraidamente	kˌoŋtɾaɪdɐmˈeɪŋtʃɪ	kˌoŋtɾaɪdɐmˈeɪŋtʃɪ
contrariamente	kˌoŋtɾaɾˌiɐmˈeɪŋtʃɪ	kˌoŋtɾaɾiɐmˈeɪŋtʃɪ
contratualmente	kˌoŋtɾatˌuaʊmˈeɪŋtʃɪ	kˌoŋtɾatˌuaʊmˈeɪŋtʃɪ
controladamente	kˌoŋtɾolˌadɐmˈeɪŋtʃɪ	kˌoŋtɾoladɐmˈeɪŋtʃɪ
convencionalmente	kˌoŋveɪŋsˌɪonaʊmˈeɪŋtʃɪ	kˌoŋveɪŋsˌɪonaʊmˈeɪŋtʃɪ
convenientemente	kˌoŋvenˌieɪŋtemˈeɪŋtʃɪ	kˌoŋvenˌieɪŋtʃɪmˈeɪŋtʃɪ
convictamente	kˌoŋviktɐmˈeɪŋtʃɪ	kˌoŋviktɐmˈeɪŋtʃɪ
convincentemente	kˌoŋviŋsˌeɪŋtemˈeɪŋtʃɪ	kˌoŋviŋseɪŋtʃɪmˈeɪŋtʃɪ
convulsivamente	kˌoŋvuwsˌivɐmˈeɪŋtʃɪ	kˌoŋvuwsivɐmˈeɪŋtʃɪ
coordenadamente	kˌooɾdˌenadɐmˈeɪŋtʃɪ	kˌooɾdˌenadɐmˈeɪŋtʃɪ
copiosamente	kˌopiˌozɐmˈeɪŋtʃɪ	kˌopiɔzɐmˈeɪŋtʃɪ
copulativamente	kˌopulˌatʃivɐmˈeɪŋtʃɪ	kˌopulˌatʃivɐmˈeɪŋtʃɪ
corajosamente	kˌoɾaʒˌozɐmˈeɪŋtʃɪ	kˌoɾaʒɔzɐmˈeɪŋtʃɪ
cordatamente	kˌoɾdatɐmˈeɪŋtʃɪ	kˌoɾdatɐmˈeɪŋtʃɪ
cordialmente	kˌoɾdʒiaʊmˈeɪŋtʃɪ	kˌoɾdʒiaʊmˈeɪŋtʃɪ
corporalmente	kˌoɾpoɾaʊmˈeɪŋtʃɪ	kˌoɾpoɾaʊmˈeɪŋtʃɪ
correcionalmente	kˌoxesˌɪonaʊmˈeɪŋtʃɪ	kˌoxesˌɪonaʊmˈeɪŋtʃɪ
correntemente	kˌoxeɪŋtemˈeɪŋtʃɪ	kˌoxeɪŋtʃɪmˈeɪŋtʃɪ
correspondentemente	kˌoxespˌoŋdeɪŋtemˈeɪŋtʃɪ	kˌoxespˌoŋdeɪŋtʃɪmˈeɪŋtʃɪ
corretamente	kˌoxetɐmˈeɪŋtʃɪ	kˌoxɛtɐmˈeɪŋtʃɪ
corriqueiramente	kˌoxikˌeɪɾɐmˈeɪŋtʃɪ	kˌoxikeɪɾɐmˈeɪŋtʃɪ
cotidianamente	kˌotʃidʒˌiɐnɐmˈeɪŋtʃɪ	kˌotʃidʒˌiɐ̃nɐmˈeɪŋtʃɪ
covardemente	kˌovaɾdemˈeɪŋtʃɪ	kˌovaɾdʒɪmˈeɪŋtʃɪ
credulamente	kɾˌedulɐmˈeɪŋtʃɪ	kɾˌedulɐmˈeɪŋtʃɪ
crescentemente	kɾˌeseɪŋtemˈeɪŋtʃɪ	kɾˌeseɪŋtʃɪmˈeɪŋtʃɪ
criminalmente	kɾˌiminaʊmˈeɪŋtʃɪ	kɾˌiminaʊmˈeɪŋtʃɪ
criminosamente	kɾˌiminˌozɐmˈeɪŋtʃɪ	kɾˌiminɔzɐmˈeɪŋtʃɪ
criteriosamente	kɾˌiteɾˌiozɐmˈeɪŋtʃɪ	kɾˌiteɾˌiɔzɐmˈeɪŋtʃɪ
criticamente	kɾˌitʃikɐmˈeɪŋtʃɪ	kɾˌitʃikɐmˈeɪŋtʃɪ
cromaticamente	kɾˌomatʃˌikɐmˈeɪŋtʃɪ	kɾˌomatʃikɐmˈeɪŋtʃɪ
cronologicamente	kɾˌonolˌoʒikɐmˈeɪŋtʃɪ	kɾˌonolˌoʒikɐmˈeɪŋtʃɪ
cruamente	kɾˌuɐmˈeɪŋtʃɪ	kɾuɐmˈeɪŋtʃɪ
crucialmente	kɾˌusiaʊmˈeɪŋtʃɪ	kɾˌusiaʊmˈeɪŋtʃɪ
cruelmente	kɾˌuɛʊmˈeɪŋtʃɪ	kɾˌuɛʊmˈeɪŋtʃɪ
cuidadosamente	kˌuɪdadˌozɐmˈeɪŋtʃɪ	kˌuɪdadɔzɐmˈeɪŋtʃɪ
culturalmente	kˌuwtuɾaʊmˈeɪŋtʃɪ	kˌuwtuɾaʊmˈeɪŋtʃɪ
cumprimente	kˌũmpɾimˈeɪŋtʃɪ	kˌũmpɾimˈeɪŋtʃɪ
cumulativamente	kˌumulˌatʃivɐmˈeɪŋtʃɪ	kˌumulˌatʃivɐmˈeɪŋtʃɪ
curiosamente	kˌuɾiˌozɐmˈeɪŋtʃɪ	kˌuɾiɔzɐmˈeɪŋtʃɪ
curtamente	kˌuɾtɐmˈeɪŋtʃɪ	kuɾtɐmˈeɪŋtʃɪ
debilmente	dˌebiʊmˈeɪŋtʃɪ	dˌebiʊmˈeɪŋtʃɪ
decentemente	dˌeseɪŋtemˈeɪŋtʃɪ	dˌeseɪŋtʃɪmˈeɪŋtʃɪ
decididamente	dˌesidʒˌidɐmˈeɪŋtʃɪ	dˌesidʒidɐmˈeɪŋtʃɪ
decisivamente	dˌesizˌivɐmˈeɪŋtʃɪ	dˌesizivɐmˈeɪŋtʃɪ
declaradamente	dˌeklaɾˌadɐmˈeɪŋtʃɪ	dˌeklaɾadɐmˈeɪŋtʃɪ
decremente	dˌekɾemˈeɪŋtʃɪ	dɛkɾɪmˈeɪŋtʃɪ
decretoriamente	dˌekɾetˌoɾiɐmˈeɪŋtʃɪ	dˌekɾetˌoɾiɐmˈeɪŋtʃɪ
dedicadamente	dˌedʒikˌadɐmˈeɪŋtʃɪ	dˌedʒikadɐmˈeɪŋtʃɪ
dedutivamente	dˌedutʃˌivɐmˈeɪŋtʃɪ	dˌedutʃivɐmˈeɪŋtʃɪ
defeituosamente	dˌefeɪtwˌozɐmˈeɪŋtʃɪ	dˌefeɪtwɔzɐmˈeɪŋtʃɪ
defensivamente	dˌefeɪŋsˌivɐmˈeɪŋtʃɪ	dˌefeɪŋsivɐmˈeɪŋtʃɪ
deficientemente	dˌefisˌieɪŋtemˈeɪŋtʃɪ	dˌefisˌieɪŋtʃɪmˈeɪŋtʃɪ
definitivamente	dˌefinˌitʃivɐmˈeɪŋtʃɪ	dˌefinˌitʃivɐmˈeɪŋtʃɪ
degradantemente	dˌeɡɾadˌɐ̃ŋtemˈeɪŋtʃɪ	dˌeɡɾadɐ̃ŋtʃɪmˈeɪŋtʃɪ
delegantemente	dˌeleɡˌɐ̃ŋtemˈeɪŋtʃɪ	dˌeleɡɐ̃ŋtʃɪmˈeɪŋtʃɪ
delgadamente	dˌɛʊɡadɐmˈeɪŋtʃɪ	dˌɛʊɡadɐmˈeɪŋtʃɪ
deliberadamente	dˌelibˌeɾadɐmˈeɪŋtʃɪ	dˌelibˌeɾadɐmˈeɪŋtʃɪ
delicadamente	dˌelikˌadɐmˈeɪŋtʃɪ	dˌelikadɐmˈeɪŋtʃɪ
deliciosamente	dˌelisˌiozɐmˈeɪŋtʃɪ	dˌelisˌiɔzɐmˈeɪŋtʃɪ
delirantemente	dˌeliɾˌɐ̃ŋtemˈeɪŋtʃɪ	dˌeliɾɐ̃ŋtʃɪmˈeɪŋtʃɪ
demasiadamente	dˌemazˌiadɐmˈeɪŋtʃɪ	dˌemazˌiadɐmˈeɪŋtʃɪ
demente	dˌemˈeɪŋtʃɪ	dˌemˈeɪŋtʃɪ
democraticamente	dˌemokɾˌatʃikɐmˈeɪŋtʃɪ	dˌemokɾˌatʃikɐmˈeɪŋtʃɪ
demoradamente	dˌemoɾˌadɐmˈeɪŋtʃɪ	dˌemoɾadɐmˈeɪŋtʃɪ
densamente	dˌeɪŋsɐmˈeɪŋtʃɪ	deɪŋsɐmˈeɪŋtʃɪ
deploravelmente	dˌeploɾˌavɛʊmˈeɪŋtʃɪ	dˌeploɾˌavɛʊmˈeɪŋtʃɪ
deprimente	dˌepɾimˈeɪŋtʃɪ	dˌepɾimˈeɪŋtʃɪ
desabaladamente	dˌezabˌaladɐmˈeɪŋtʃɪ	dˌezabˌaladɐmˈeɪŋtʃɪ
desabridamente	dˌezabɾˌidɐmˈeɪŋtʃɪ	dˌezabɾidɐmˈeɪŋtʃɪ
desaceleradamente	dˌezasˌeleɾˌadɐmˈeɪŋtʃɪ	dˌezasˌeleɾadɐmˈeɪŋtʃɪ
desacentuadamente	dˌezasˌeɪŋtuˌadɐmˈeɪŋtʃɪ	dˌezasˌeɪŋtuadɐmˈeɪŋtʃɪ
desacertadamente	dˌezasˌeɾtadɐmˈeɪŋtʃɪ	dˌezasˌeɾtadɐmˈeɪŋtʃɪ
desadequadamente	dˌezadˌekwadɐmˈeɪŋtʃɪ	dˌezadˌekwadɐmˈeɪŋtʃɪ
desafetadamente	dˌezafˌetadɐmˈeɪŋtʃɪ	dˌezafˌetadɐmˈeɪŋtʃɪ
desafogadamente	dˌezafˌoɡadɐmˈeɪŋtʃɪ	dˌezafˌoɡadɐmˈeɪŋtʃɪ
desaforadamente	dˌezafˌoɾadɐmˈeɪŋtʃɪ	dˌezafˌoɾadɐmˈeɪŋtʃɪ
desagradavelmente	dˌezaɡɾˌadavɛʊmˈeɪŋtʃɪ	dˌezaɡɾˌadavɛʊmˈeɪŋtʃɪ
desajeitadamente	dˌezaʒˌeɪtadɐmˈeɪŋtʃɪ	dˌezaʒˌeɪtadɐmˈeɪŋtʃɪ
desalmadamente	dˌezaʊmˌadɐmˈeɪŋtʃɪ	dˌezaʊmadɐmˈeɪŋtʃɪ
desamparadamente	dˌezɐ̃mpˌaɾadɐmˈeɪŋtʃɪ	dˌezɐ̃mpˌaɾadɐmˈeɪŋtʃɪ
desapaixonadamente	dˌezapˌaɪʃonˌadɐmˈeɪŋtʃɪ	dˌezapˌaɪʃonadɐmˈeɪŋtʃɪ
desapertadamente	dˌezapˌeɾtadɐmˈeɪŋtʃɪ	dˌezapˌeɾtadɐmˈeɪŋtʃɪ
desapropriadamente	dˌezapɾˌopɾiˌadɐmˈeɪŋtʃɪ	dˌezapɾˌopɾiadɐmˈeɪŋtʃɪ
desarmoniosamente	dˌezaɾmˌoniˌozɐmˈeɪŋtʃɪ	dˌezaɾmˌoniɔzɐmˈeɪŋtʃɪ
desarticuladamente	dˌezaɾtʃˌikulˌadɐmˈeɪŋtʃɪ	dˌezaɾtʃˌikuladɐmˈeɪŋtʃɪ
desarticularmente	dˌezaɾtʃˌikulaɾmˈeɪŋtʃɪ	dˌezaɾtʃˌikulaɾmˈeɪŋtʃɪ
desassombradamente	dˌezasˌombɾadɐmˈeɪŋtʃɪ	dˌezasˌombɾadɐmˈeɪŋtʃɪ
desastradamente	dˌezastɾˌadɐmˈeɪŋtʃɪ	dˌezastɾadɐmˈeɪŋtʃɪ
desatenciosamente	dˌezatˌeɪŋsiˌozɐmˈeɪŋtʃɪ	dˌezatˌeɪŋsiɔzɐmˈeɪŋtʃɪ
desatentadamente	dˌezatˌeɪŋtadɐmˈeɪŋtʃɪ	dˌezatˌeɪŋtadɐmˈeɪŋtʃɪ
desavisadamente	dˌezavˌizadɐmˈeɪŋtʃɪ	dˌezavˌizadɐmˈeɪŋtʃɪ
descabidamente	dˌeskabˌidɐmˈeɪŋtʃɪ	dˌeskabidɐmˈeɪŋtʃɪ
descansadamente	dˌeskɐ̃ŋsˌadɐmˈeɪŋtʃɪ	dˌeskɐ̃ŋsadɐmˈeɪŋtʃɪ
descaradamente	dˌeskaɾˌadɐmˈeɪŋtʃɪ	dˌeskaɾadɐmˈeɪŋtʃɪ
descomedidamente	dˌeskomˌedʒidɐmˈeɪŋtʃɪ	dˌeskomˌedʒidɐmˈeɪŋtʃɪ
descompadradamente	dˌeskompˌadɾadɐmˈeɪŋtʃɪ	dˌeskompˌadɾadɐmˈeɪŋtʃɪ
desconfiadamente	dˌeskoŋfˌiadɐmˈeɪŋtʃɪ	dˌeskoŋfˌiadɐmˈeɪŋtʃɪ
desconfortavelmente	dˌeskoŋfˌoɾtavɛʊmˈeɪŋtʃɪ	dˌeskoŋfˌoɾtavɛʊmˈeɪŋtʃɪ
desconjuntadamente	dˌeskoŋʒˌũŋtadɐmˈeɪŋtʃɪ	dˌeskoŋʒˌũŋtadɐmˈeɪŋtʃɪ
desconsoladamente	dˌeskoŋsˌoladɐmˈeɪŋtʃɪ	dˌeskoŋsˌoladɐmˈeɪŋtʃɪ
descontinuadamente	dˌeskoŋtʃˌinuˌadɐmˈeɪŋtʃɪ	dˌeskoŋtʃˌinuadɐmˈeɪŋtʃɪ
descontraidamente	dˌeskoŋtɾˌaɪdɐmˈeɪŋtʃɪ	dˌeskoŋtɾaɪdɐmˈeɪŋtʃɪ
descontroladamente	dˌeskoŋtɾˌoladɐmˈeɪŋtʃɪ	dˌeskoŋtɾˌoladɐmˈeɪŋtʃɪ
descuidadamente	dˌeskuɪdˌadɐmˈeɪŋtʃɪ	dˌeskuɪdadɐmˈeɪŋtʃɪ
descuidadosamente	dˌeskuɪdˌadozɐmˈeɪŋtʃɪ	dˌeskuɪdˌadɔzɐmˈeɪŋtʃɪ
descuradamente	dˌeskuɾˌadɐmˈeɪŋtʃɪ	dˌeskuɾadɐmˈeɪŋtʃɪ
desdenhosamente	dˌezdeɲˌozɐmˈeɪŋtʃɪ	dˌezdeɲɔzɐmˈeɪŋtʃɪ
deseducadamente	dˌezedˌukadɐmˈeɪŋtʃɪ	dˌezedˌukadɐmˈeɪŋtʃɪ
desejavelmente	dˌezeʒˌavɛʊmˈeɪŋtʃɪ	dˌezeʒˌavɛʊmˈeɪŋtʃɪ
desencontradamente	dˌezeɪŋkˌoŋtɾadɐmˈeɪŋtʃɪ	dˌezeɪŋkˌoŋtɾadɐmˈeɪŋtʃɪ
desenfreadamente	dˌezeɪŋfɾˌeadɐmˈeɪŋtʃɪ	dˌezeɪŋfɾˌeadɐmˈeɪŋtʃɪ
desenvergonhadamente	dˌezeɪŋvˌeɾɡoɲˌadɐmˈeɪŋtʃɪ	dˌezeɪŋvˌeɾɡoɲadɐmˈeɪŋtʃɪ
desenvolvidamente	dˌezeɪŋvˌoʊvidɐmˈeɪŋtʃɪ	dˌezeɪŋvˌoʊvidɐmˈeɪŋtʃɪ
desequilibradamente	dˌezekˌilibɾˌadɐmˈeɪŋtʃɪ	dˌezekˌilibɾadɐmˈeɪŋtʃɪ
desesperadamente	dˌezespˌeɾadɐmˈeɪŋtʃɪ	dˌezespˌeɾadɐmˈeɪŋtʃɪ
desfavoravelmente	dˌesfavˌoɾavɛʊmˈeɪŋtʃɪ	dˌesfavˌoɾavɛʊmˈeɪŋtʃɪ
desfragmente	dˌesfɾaɡmˈeɪŋtʃɪ	dˌesfɾaɡmˈeɪŋtʃɪ
desgraçadamente	dˌezɡɾasˌadɐmˈeɪŋtʃɪ	dˌezɡɾasadɐmˈeɪŋtʃɪ
desgraciosamente	dˌezɡɾasˌiozɐmˈeɪŋtʃɪ	dˌezɡɾasˌiɔzɐmˈeɪŋtʃɪ
designadamente	dˌeziɡnˌadɐmˈeɪŋtʃɪ	dˌeziɡnadɐmˈeɪŋtʃɪ
desigualmente	dˌeziɡwaʊmˈeɪŋtʃɪ	dˌeziɡwaʊmˈeɪŋtʃɪ
desinchadamente	dˌeziŋʃˌadɐmˈeɪŋtʃɪ	dˌeziŋʃadɐmˈeɪŋtʃɪ
desinteressadamente	dˌeziŋtˌeɾesˌadɐmˈeɪŋtʃɪ	dˌeziŋtˌeɾesadɐmˈeɪŋtʃɪ
desinteresseiramente	dˌeziŋtˌeɾesˌeɪɾɐmˈeɪŋtʃɪ	dˌeziŋtˌeɾeseɪɾɐmˈeɪŋtʃɪ
deslealmente	dˌezleaʊmˈeɪŋtʃɪ	dˌezleaʊmˈeɪŋtʃɪ
desleixadamente	dˌezleɪʃˌadɐmˈeɪŋtʃɪ	dˌezleɪʃadɐmˈeɪŋtʃɪ
desmarcadamente	dˌezmaɾkˌadɐmˈeɪŋtʃɪ	dˌezmaɾkadɐmˈeɪŋtʃɪ
desmazeladamente	dˌezmazˌeladɐmˈeɪŋtʃɪ	dˌezmazˌeladɐmˈeɪŋtʃɪ
desmedidamente	dˌezmedʒˌidɐmˈeɪŋtʃɪ	dˌezmedʒidɐmˈeɪŋtʃɪ
desmente	dˌezmˈeɪŋtʃɪ	dˌezmˈeɪŋtʃɪ
desmerecidamente	dˌezmeɾˌesidɐmˈeɪŋtʃɪ	dˌezmeɾˌesidɐmˈeɪŋtʃɪ
desmesuradamente	dˌezmezˌuɾadɐmˈeɪŋtʃɪ	dˌezmezˌuɾadɐmˈeɪŋtʃɪ
desnecessariamente	dˌeznesˌesaɾˌiɐmˈeɪŋtʃɪ	dˌeznesˌesaɾiɐmˈeɪŋtʃɪ
